JKV_AZONOSITO,SZAVAZOKOR,JELOLT,SZAVAZAT,TIPUS,LISTA
62334,01_001_008,Szöllõsi Istvánné,6,EGYENI,KIS_SZOCDEM
62336,01_001_009,Rogán Antal,403,EGYENI,FIDESZ
62336,01_001_009,Kerék-Bárczy Szabolcs,230,EGYENI,OSSZEFOGAS14
62336,01_001_009,Schiffer András,101,EGYENI,LMP
62336,01_001_009,Hegedûs Lóránt Gézáné,68,EGYENI,JOBBIK
62336,01_001_009,Szöllõsi Istvánné,5,EGYENI,KIS_SZOCDEM
62338,01_001_010,Rogán Antal,329,EGYENI,FIDESZ
62338,01_001_010,Kerék-Bárczy Szabolcs,273,EGYENI,OSSZEFOGAS14
62338,01_001_010,Schiffer András,86,EGYENI,LMP
62338,01_001_010,Hegedûs Lóránt Gézáné,67,EGYENI,JOBBIK
62338,01_001_010,Szöllõsi Istvánné,3,EGYENI,KIS_SZOCDEM
62340,01_001_011,Rogán Antal,350,EGYENI,FIDESZ
62340,01_001_011,Kerék-Bárczy Szabolcs,248,EGYENI,OSSZEFOGAS14
62340,01_001_011,Schiffer András,131,EGYENI,LMP
62340,01_001_011,Hegedûs Lóránt Gézáné,48,EGYENI,JOBBIK
62340,01_001_011,Szöllõsi Istvánné,4,EGYENI,KIS_SZOCDEM
62342,01_001_012,Rogán Antal,360,EGYENI,FIDESZ
62342,01_001_012,Kerék-Bárczy Szabolcs,236,EGYENI,OSSZEFOGAS14
62342,01_001_012,Schiffer András,119,EGYENI,LMP
62342,01_001_012,Hegedûs Lóránt Gézáné,56,EGYENI,JOBBIK
62342,01_001_012,Szöllõsi Istvánné,7,EGYENI,KIS_SZOCDEM
62344,01_001_013,Rogán Antal,422,EGYENI,FIDESZ
62344,01_001_013,Kerék-Bárczy Szabolcs,220,EGYENI,OSSZEFOGAS14
62344,01_001_013,Schiffer András,115,EGYENI,LMP
62344,01_001_013,Hegedûs Lóránt Gézáné,59,EGYENI,JOBBIK
62344,01_001_013,Szöllõsi Istvánné,4,EGYENI,KIS_SZOCDEM
62346,01_001_014,Rogán Antal,314,EGYENI,FIDESZ
62346,01_001_014,Kerék-Bárczy Szabolcs,252,EGYENI,OSSZEFOGAS14
62346,01_001_014,Schiffer András,112,EGYENI,LMP
62346,01_001_014,Hegedûs Lóránt Gézáné,50,EGYENI,JOBBIK
62346,01_001_014,Szöllõsi Istvánné,7,EGYENI,KIS_SZOCDEM
62348,01_001_015,Rogán Antal,339,EGYENI,FIDESZ
62348,01_001_015,Kerék-Bárczy Szabolcs,252,EGYENI,OSSZEFOGAS14
62348,01_001_015,Schiffer András,97,EGYENI,LMP
62348,01_001_015,Hegedûs Lóránt Gézáné,51,EGYENI,JOBBIK
62348,01_001_015,Szöllõsi Istvánné,3,EGYENI,KIS_SZOCDEM
62350,01_001_016,Rogán Antal,350,EGYENI,FIDESZ
62350,01_001_016,Kerék-Bárczy Szabolcs,211,EGYENI,OSSZEFOGAS14
62350,01_001_016,Schiffer András,119,EGYENI,LMP
62350,01_001_016,Hegedûs Lóránt Gézáné,53,EGYENI,JOBBIK
62350,01_001_016,Szöllõsi Istvánné,3,EGYENI,KIS_SZOCDEM
62352,01_001_017,Rogán Antal,329,EGYENI,FIDESZ
62352,01_001_017,Kerék-Bárczy Szabolcs,269,EGYENI,OSSZEFOGAS14
62352,01_001_017,Schiffer András,121,EGYENI,LMP
62352,01_001_017,Hegedûs Lóránt Gézáné,54,EGYENI,JOBBIK
62352,01_001_017,Szöllõsi Istvánné,2,EGYENI,KIS_SZOCDEM
62354,01_001_018,Rogán Antal,364,EGYENI,FIDESZ
62354,01_001_018,Kerék-Bárczy Szabolcs,265,EGYENI,OSSZEFOGAS14
62354,01_001_018,Schiffer András,97,EGYENI,LMP
62354,01_001_018,Hegedûs Lóránt Gézáné,52,EGYENI,JOBBIK
62354,01_001_018,Szöllõsi Istvánné,0,EGYENI,KIS_SZOCDEM
62356,01_001_019,Rogán Antal,330,EGYENI,FIDESZ
62356,01_001_019,Kerék-Bárczy Szabolcs,204,EGYENI,OSSZEFOGAS14
62356,01_001_019,Schiffer András,106,EGYENI,LMP
62356,01_001_019,Hegedûs Lóránt Gézáné,62,EGYENI,JOBBIK
62356,01_001_019,Szöllõsi Istvánné,2,EGYENI,KIS_SZOCDEM
62358,01_001_020,Rogán Antal,313,EGYENI,FIDESZ
62358,01_001_020,Kerék-Bárczy Szabolcs,287,EGYENI,OSSZEFOGAS14
62358,01_001_020,Schiffer András,92,EGYENI,LMP
62358,01_001_020,Hegedûs Lóránt Gézáné,31,EGYENI,JOBBIK
62358,01_001_020,Szöllõsi Istvánné,4,EGYENI,KIS_SZOCDEM
62842,01_002_001,Varga Mihály,393,EGYENI,FIDESZ
62842,01_002_001,Szelényi Zsuzsanna,277,EGYENI,OSSZEFOGAS14
62842,01_002_001,Dárdai Zsuzsanna Terézia,71,EGYENI,LMP
62842,01_002_001,Bodor Zoltán,59,EGYENI,JOBBIK
62842,01_002_001,Suhajdáné Toldi Zsanett Dea,5,EGYENI,KIS_OP
62844,01_002_002,Varga Mihály,339,EGYENI,FIDESZ
62844,01_002_002,Szelényi Zsuzsanna,261,EGYENI,OSSZEFOGAS14
62844,01_002_002,Dárdai Zsuzsanna Terézia,67,EGYENI,LMP
62844,01_002_002,Bodor Zoltán,40,EGYENI,JOBBIK
62844,01_002_002,Suhajdáné Toldi Zsanett Dea,5,EGYENI,KIS_OP
62846,01_002_003,Varga Mihály,210,EGYENI,FIDESZ
62846,01_002_003,Szelényi Zsuzsanna,203,EGYENI,OSSZEFOGAS14
62846,01_002_003,Dárdai Zsuzsanna Terézia,42,EGYENI,LMP
62846,01_002_003,Bodor Zoltán,38,EGYENI,JOBBIK
62846,01_002_003,Suhajdáné Toldi Zsanett Dea,5,EGYENI,KIS_OP
62848,01_002_004,Varga Mihály,357,EGYENI,FIDESZ
62848,01_002_004,Szelényi Zsuzsanna,273,EGYENI,OSSZEFOGAS14
62848,01_002_004,Dárdai Zsuzsanna Terézia,68,EGYENI,LMP
62848,01_002_004,Bodor Zoltán,48,EGYENI,JOBBIK
62848,01_002_004,Suhajdáné Toldi Zsanett Dea,3,EGYENI,KIS_OP
62850,01_002_005,Szelényi Zsuzsanna,392,EGYENI,OSSZEFOGAS14
62850,01_002_005,Varga Mihály,266,EGYENI,FIDESZ
62850,01_002_005,Dárdai Zsuzsanna Terézia,71,EGYENI,LMP
62850,01_002_005,Bodor Zoltán,35,EGYENI,JOBBIK
62850,01_002_005,Suhajdáné Toldi Zsanett Dea,5,EGYENI,KIS_OP
62852,01_002_006,Varga Mihály,337,EGYENI,FIDESZ
62852,01_002_006,Szelényi Zsuzsanna,275,EGYENI,OSSZEFOGAS14
62852,01_002_006,Bodor Zoltán,46,EGYENI,JOBBIK
62852,01_002_006,Dárdai Zsuzsanna Terézia,39,EGYENI,LMP
62852,01_002_006,Suhajdáné Toldi Zsanett Dea,4,EGYENI,KIS_OP
62854,01_002_007,Szelényi Zsuzsanna,327,EGYENI,OSSZEFOGAS14
62854,01_002_007,Varga Mihály,288,EGYENI,FIDESZ
62854,01_002_007,Dárdai Zsuzsanna Terézia,58,EGYENI,LMP
62854,01_002_007,Bodor Zoltán,35,EGYENI,JOBBIK
62854,01_002_007,Suhajdáné Toldi Zsanett Dea,5,EGYENI,KIS_OP
62856,01_002_008,Varga Mihály,364,EGYENI,FIDESZ
62856,01_002_008,Szelényi Zsuzsanna,295,EGYENI,OSSZEFOGAS14
62856,01_002_008,Dárdai Zsuzsanna Terézia,39,EGYENI,LMP
62856,01_002_008,Bodor Zoltán,26,EGYENI,JOBBIK
62856,01_002_008,Suhajdáné Toldi Zsanett Dea,4,EGYENI,KIS_OP
62858,01_002_009,Szelényi Zsuzsanna,292,EGYENI,OSSZEFOGAS14
62858,01_002_009,Varga Mihály,288,EGYENI,FIDESZ
62858,01_002_009,Dárdai Zsuzsanna Terézia,64,EGYENI,LMP
62858,01_002_009,Bodor Zoltán,33,EGYENI,JOBBIK
62858,01_002_009,Suhajdáné Toldi Zsanett Dea,4,EGYENI,KIS_OP
62990,01_002_010,Varga Mihály,1057,EGYENI,FIDESZ
62990,01_002_010,Szelényi Zsuzsanna,891,EGYENI,OSSZEFOGAS14
62990,01_002_010,Dárdai Zsuzsanna Terézia,234,EGYENI,LMP
62990,01_002_010,Bodor Zoltán,152,EGYENI,JOBBIK
62990,01_002_010,Suhajdáné Toldi Zsanett Dea,23,EGYENI,KIS_OP
62860,01_002_011,Varga Mihály,218,EGYENI,FIDESZ
62860,01_002_011,Szelényi Zsuzsanna,215,EGYENI,OSSZEFOGAS14
62860,01_002_011,Dárdai Zsuzsanna Terézia,50,EGYENI,LMP
62860,01_002_011,Bodor Zoltán,20,EGYENI,JOBBIK
62860,01_002_011,Suhajdáné Toldi Zsanett Dea,4,EGYENI,KIS_OP
62862,01_002_012,Szelényi Zsuzsanna,400,EGYENI,OSSZEFOGAS14
62862,01_002_012,Varga Mihály,388,EGYENI,FIDESZ
62862,01_002_012,Dárdai Zsuzsanna Terézia,76,EGYENI,LMP
62862,01_002_012,Bodor Zoltán,24,EGYENI,JOBBIK
62862,01_002_012,Suhajdáné Toldi Zsanett Dea,3,EGYENI,KIS_OP
62864,01_002_013,Varga Mihály,263,EGYENI,FIDESZ
62864,01_002_013,Szelényi Zsuzsanna,213,EGYENI,OSSZEFOGAS14
62864,01_002_013,Dárdai Zsuzsanna Terézia,49,EGYENI,LMP
62864,01_002_013,Bodor Zoltán,26,EGYENI,JOBBIK
62864,01_002_013,Suhajdáné Toldi Zsanett Dea,3,EGYENI,KIS_OP
62992,01_002_014,Szelényi Zsuzsanna,281,EGYENI,OSSZEFOGAS14
62992,01_002_014,Varga Mihály,268,EGYENI,FIDESZ
62992,01_002_014,Dárdai Zsuzsanna Terézia,55,EGYENI,LMP
62992,01_002_014,Bodor Zoltán,23,EGYENI,JOBBIK
62992,01_002_014,Suhajdáné Toldi Zsanett Dea,5,EGYENI,KIS_OP
62866,01_002_015,Varga Mihály,352,EGYENI,FIDESZ
62866,01_002_015,Szelényi Zsuzsanna,259,EGYENI,OSSZEFOGAS14
62866,01_002_015,Dárdai Zsuzsanna Terézia,59,EGYENI,LMP
62866,01_002_015,Bodor Zoltán,8,EGYENI,JOBBIK
62866,01_002_015,Suhajdáné Toldi Zsanett Dea,6,EGYENI,KIS_OP
62868,01_002_016,Varga Mihály,360,EGYENI,FIDESZ
62868,01_002_016,Szelényi Zsuzsanna,304,EGYENI,OSSZEFOGAS14
62868,01_002_016,Dárdai Zsuzsanna Terézia,47,EGYENI,LMP
62868,01_002_016,Bodor Zoltán,30,EGYENI,JOBBIK
62868,01_002_016,Suhajdáné Toldi Zsanett Dea,4,EGYENI,KIS_OP
62994,01_002_017,Szelényi Zsuzsanna,321,EGYENI,OSSZEFOGAS14
62994,01_002_017,Varga Mihály,265,EGYENI,FIDESZ
62994,01_002_017,Dárdai Zsuzsanna Terézia,61,EGYENI,LMP
62994,01_002_017,Bodor Zoltán,46,EGYENI,JOBBIK
62994,01_002_017,Suhajdáné Toldi Zsanett Dea,4,EGYENI,KIS_OP
62870,01_002_018,Szelényi Zsuzsanna,306,EGYENI,OSSZEFOGAS14
62870,01_002_018,Varga Mihály,291,EGYENI,FIDESZ
62870,01_002_018,Dárdai Zsuzsanna Terézia,49,EGYENI,LMP
62870,01_002_018,Bodor Zoltán,30,EGYENI,JOBBIK
62870,01_002_018,Suhajdáné Toldi Zsanett Dea,2,EGYENI,KIS_OP
62996,01_002_019,Szelényi Zsuzsanna,306,EGYENI,OSSZEFOGAS14
62996,01_002_019,Varga Mihály,291,EGYENI,FIDESZ
62996,01_002_019,Dárdai Zsuzsanna Terézia,51,EGYENI,LMP
62996,01_002_019,Bodor Zoltán,19,EGYENI,JOBBIK
62996,01_002_019,Suhajdáné Toldi Zsanett Dea,4,EGYENI,KIS_OP
62872,01_002_020,Szelényi Zsuzsanna,301,EGYENI,OSSZEFOGAS14
62872,01_002_020,Varga Mihály,295,EGYENI,FIDESZ
62872,01_002_020,Dárdai Zsuzsanna Terézia,51,EGYENI,LMP
62872,01_002_020,Bodor Zoltán,21,EGYENI,JOBBIK
62872,01_002_020,Suhajdáné Toldi Zsanett Dea,6,EGYENI,KIS_OP
62874,01_002_021,Varga Mihály,239,EGYENI,FIDESZ
62874,01_002_021,Szelényi Zsuzsanna,213,EGYENI,OSSZEFOGAS14
62874,01_002_021,Dárdai Zsuzsanna Terézia,40,EGYENI,LMP
62874,01_002_021,Bodor Zoltán,20,EGYENI,JOBBIK
62874,01_002_021,Suhajdáné Toldi Zsanett Dea,2,EGYENI,KIS_OP
62876,01_002_022,Varga Mihály,346,EGYENI,FIDESZ
62876,01_002_022,Szelényi Zsuzsanna,297,EGYENI,OSSZEFOGAS14
62876,01_002_022,Dárdai Zsuzsanna Terézia,36,EGYENI,LMP
62876,01_002_022,Bodor Zoltán,30,EGYENI,JOBBIK
62876,01_002_022,Suhajdáné Toldi Zsanett Dea,3,EGYENI,KIS_OP
62878,01_002_023,Szelényi Zsuzsanna,361,EGYENI,OSSZEFOGAS14
62878,01_002_023,Varga Mihály,292,EGYENI,FIDESZ
62878,01_002_023,Dárdai Zsuzsanna Terézia,62,EGYENI,LMP
62878,01_002_023,Bodor Zoltán,24,EGYENI,JOBBIK
62878,01_002_023,Suhajdáné Toldi Zsanett Dea,2,EGYENI,KIS_OP
62880,01_002_024,Varga Mihály,339,EGYENI,FIDESZ
62880,01_002_024,Szelényi Zsuzsanna,320,EGYENI,OSSZEFOGAS14
62880,01_002_024,Bodor Zoltán,50,EGYENI,JOBBIK
62880,01_002_024,Dárdai Zsuzsanna Terézia,50,EGYENI,LMP
62880,01_002_024,Suhajdáné Toldi Zsanett Dea,5,EGYENI,KIS_OP
62882,01_002_025,Varga Mihály,368,EGYENI,FIDESZ
62882,01_002_025,Szelényi Zsuzsanna,234,EGYENI,OSSZEFOGAS14
62882,01_002_025,Dárdai Zsuzsanna Terézia,57,EGYENI,LMP
62882,01_002_025,Bodor Zoltán,33,EGYENI,JOBBIK
62882,01_002_025,Suhajdáné Toldi Zsanett Dea,5,EGYENI,KIS_OP
62884,01_002_026,Varga Mihály,348,EGYENI,FIDESZ
62884,01_002_026,Szelényi Zsuzsanna,282,EGYENI,OSSZEFOGAS14
62884,01_002_026,Dárdai Zsuzsanna Terézia,56,EGYENI,LMP
62884,01_002_026,Bodor Zoltán,17,EGYENI,JOBBIK
62884,01_002_026,Suhajdáné Toldi Zsanett Dea,6,EGYENI,KIS_OP
62886,01_002_027,Varga Mihály,314,EGYENI,FIDESZ
62886,01_002_027,Szelényi Zsuzsanna,249,EGYENI,OSSZEFOGAS14
62886,01_002_027,Dárdai Zsuzsanna Terézia,45,EGYENI,LMP
62886,01_002_027,Bodor Zoltán,14,EGYENI,JOBBIK
62886,01_002_027,Suhajdáné Toldi Zsanett Dea,3,EGYENI,KIS_OP
62888,01_002_028,Varga Mihály,273,EGYENI,FIDESZ
62888,01_002_028,Szelényi Zsuzsanna,240,EGYENI,OSSZEFOGAS14
62888,01_002_028,Bodor Zoltán,46,EGYENI,JOBBIK
62888,01_002_028,Dárdai Zsuzsanna Terézia,38,EGYENI,LMP
62888,01_002_028,Suhajdáné Toldi Zsanett Dea,2,EGYENI,KIS_OP
62998,01_002_029,Varga Mihály,268,EGYENI,FIDESZ
62998,01_002_029,Szelényi Zsuzsanna,232,EGYENI,OSSZEFOGAS14
62998,01_002_029,Dárdai Zsuzsanna Terézia,34,EGYENI,LMP
62998,01_002_029,Bodor Zoltán,24,EGYENI,JOBBIK
62998,01_002_029,Suhajdáné Toldi Zsanett Dea,5,EGYENI,KIS_OP
62890,01_002_030,Szelényi Zsuzsanna,222,EGYENI,OSSZEFOGAS14
62890,01_002_030,Varga Mihály,184,EGYENI,FIDESZ
62890,01_002_030,Dárdai Zsuzsanna Terézia,51,EGYENI,LMP
62890,01_002_030,Bodor Zoltán,16,EGYENI,JOBBIK
62890,01_002_030,Suhajdáné Toldi Zsanett Dea,2,EGYENI,KIS_OP
62892,01_002_031,Varga Mihály,464,EGYENI,FIDESZ
62892,01_002_031,Szelényi Zsuzsanna,400,EGYENI,OSSZEFOGAS14
62892,01_002_031,Dárdai Zsuzsanna Terézia,62,EGYENI,LMP
62892,01_002_031,Bodor Zoltán,48,EGYENI,JOBBIK
62892,01_002_031,Suhajdáné Toldi Zsanett Dea,4,EGYENI,KIS_OP
62894,01_002_032,Varga Mihály,401,EGYENI,FIDESZ
62894,01_002_032,Szelényi Zsuzsanna,275,EGYENI,OSSZEFOGAS14
62894,01_002_032,Dárdai Zsuzsanna Terézia,64,EGYENI,LMP
62894,01_002_032,Bodor Zoltán,40,EGYENI,JOBBIK
62894,01_002_032,Suhajdáné Toldi Zsanett Dea,10,EGYENI,KIS_OP
62896,01_002_033,Varga Mihály,345,EGYENI,FIDESZ
62896,01_002_033,Szelényi Zsuzsanna,274,EGYENI,OSSZEFOGAS14
62896,01_002_033,Dárdai Zsuzsanna Terézia,60,EGYENI,LMP
62896,01_002_033,Bodor Zoltán,32,EGYENI,JOBBIK
62896,01_002_033,Suhajdáné Toldi Zsanett Dea,5,EGYENI,KIS_OP
62898,01_002_034,Varga Mihály,281,EGYENI,FIDESZ
62898,01_002_034,Szelényi Zsuzsanna,207,EGYENI,OSSZEFOGAS14
62898,01_002_034,Dárdai Zsuzsanna Terézia,44,EGYENI,LMP
62898,01_002_034,Bodor Zoltán,31,EGYENI,JOBBIK
62898,01_002_034,Suhajdáné Toldi Zsanett Dea,10,EGYENI,KIS_OP
62900,01_002_035,Varga Mihály,385,EGYENI,FIDESZ
62900,01_002_035,Szelényi Zsuzsanna,216,EGYENI,OSSZEFOGAS14
62900,01_002_035,Dárdai Zsuzsanna Terézia,64,EGYENI,LMP
62900,01_002_035,Bodor Zoltán,42,EGYENI,JOBBIK
62900,01_002_035,Suhajdáné Toldi Zsanett Dea,7,EGYENI,KIS_OP
62902,01_002_036,Varga Mihály,352,EGYENI,FIDESZ
62902,01_002_036,Szelényi Zsuzsanna,274,EGYENI,OSSZEFOGAS14
62902,01_002_036,Dárdai Zsuzsanna Terézia,60,EGYENI,LMP
62902,01_002_036,Bodor Zoltán,36,EGYENI,JOBBIK
62902,01_002_036,Suhajdáné Toldi Zsanett Dea,3,EGYENI,KIS_OP
62904,01_002_037,Varga Mihály,361,EGYENI,FIDESZ
62904,01_002_037,Szelényi Zsuzsanna,242,EGYENI,OSSZEFOGAS14
62904,01_002_037,Dárdai Zsuzsanna Terézia,79,EGYENI,LMP
62904,01_002_037,Bodor Zoltán,37,EGYENI,JOBBIK
62904,01_002_037,Suhajdáné Toldi Zsanett Dea,2,EGYENI,KIS_OP
62906,01_002_038,Varga Mihály,399,EGYENI,FIDESZ
62906,01_002_038,Szelényi Zsuzsanna,239,EGYENI,OSSZEFOGAS14
62906,01_002_038,Dárdai Zsuzsanna Terézia,72,EGYENI,LMP
62906,01_002_038,Bodor Zoltán,61,EGYENI,JOBBIK
62906,01_002_038,Suhajdáné Toldi Zsanett Dea,7,EGYENI,KIS_OP
62908,01_002_039,Varga Mihály,313,EGYENI,FIDESZ
62908,01_002_039,Szelényi Zsuzsanna,216,EGYENI,OSSZEFOGAS14
62908,01_002_039,Dárdai Zsuzsanna Terézia,57,EGYENI,LMP
62908,01_002_039,Bodor Zoltán,57,EGYENI,JOBBIK
62908,01_002_039,Suhajdáné Toldi Zsanett Dea,5,EGYENI,KIS_OP
62910,01_002_040,Varga Mihály,319,EGYENI,FIDESZ
62910,01_002_040,Szelényi Zsuzsanna,187,EGYENI,OSSZEFOGAS14
62910,01_002_040,Dárdai Zsuzsanna Terézia,56,EGYENI,LMP
62910,01_002_040,Bodor Zoltán,47,EGYENI,JOBBIK
62910,01_002_040,Suhajdáné Toldi Zsanett Dea,2,EGYENI,KIS_OP
62912,01_002_041,Varga Mihály,301,EGYENI,FIDESZ
62912,01_002_041,Szelényi Zsuzsanna,173,EGYENI,OSSZEFOGAS14
62912,01_002_041,Dárdai Zsuzsanna Terézia,64,EGYENI,LMP
62912,01_002_041,Bodor Zoltán,50,EGYENI,JOBBIK
62912,01_002_041,Suhajdáné Toldi Zsanett Dea,2,EGYENI,KIS_OP
62914,01_002_042,Varga Mihály,276,EGYENI,FIDESZ
62914,01_002_042,Szelényi Zsuzsanna,249,EGYENI,OSSZEFOGAS14
62914,01_002_042,Bodor Zoltán,53,EGYENI,JOBBIK
62914,01_002_042,Dárdai Zsuzsanna Terézia,47,EGYENI,LMP
62914,01_002_042,Suhajdáné Toldi Zsanett Dea,6,EGYENI,KIS_OP
62916,01_002_043,Varga Mihály,306,EGYENI,FIDESZ
62916,01_002_043,Szelényi Zsuzsanna,209,EGYENI,OSSZEFOGAS14
62916,01_002_043,Dárdai Zsuzsanna Terézia,67,EGYENI,LMP
62916,01_002_043,Bodor Zoltán,51,EGYENI,JOBBIK
62916,01_002_043,Suhajdáné Toldi Zsanett Dea,6,EGYENI,KIS_OP
62918,01_002_044,Varga Mihály,367,EGYENI,FIDESZ
62918,01_002_044,Szelényi Zsuzsanna,245,EGYENI,OSSZEFOGAS14
62918,01_002_044,Dárdai Zsuzsanna Terézia,72,EGYENI,LMP
62918,01_002_044,Bodor Zoltán,67,EGYENI,JOBBIK
62918,01_002_044,Suhajdáné Toldi Zsanett Dea,2,EGYENI,KIS_OP
62920,01_002_045,Varga Mihály,353,EGYENI,FIDESZ
62920,01_002_045,Szelényi Zsuzsanna,215,EGYENI,OSSZEFOGAS14
62920,01_002_045,Dárdai Zsuzsanna Terézia,51,EGYENI,LMP
62920,01_002_045,Bodor Zoltán,51,EGYENI,JOBBIK
62920,01_002_045,Suhajdáné Toldi Zsanett Dea,7,EGYENI,KIS_OP
62922,01_002_046,Varga Mihály,367,EGYENI,FIDESZ
62922,01_002_046,Szelényi Zsuzsanna,255,EGYENI,OSSZEFOGAS14
62922,01_002_046,Dárdai Zsuzsanna Terézia,61,EGYENI,LMP
62922,01_002_046,Bodor Zoltán,46,EGYENI,JOBBIK
62922,01_002_046,Suhajdáné Toldi Zsanett Dea,10,EGYENI,KIS_OP
62924,01_002_047,Varga Mihály,368,EGYENI,FIDESZ
62924,01_002_047,Szelényi Zsuzsanna,243,EGYENI,OSSZEFOGAS14
62924,01_002_047,Bodor Zoltán,48,EGYENI,JOBBIK
62924,01_002_047,Dárdai Zsuzsanna Terézia,44,EGYENI,LMP
62924,01_002_047,Suhajdáné Toldi Zsanett Dea,8,EGYENI,KIS_OP
62926,01_002_048,Varga Mihály,394,EGYENI,FIDESZ
62926,01_002_048,Szelényi Zsuzsanna,234,EGYENI,OSSZEFOGAS14
62926,01_002_048,Dárdai Zsuzsanna Terézia,48,EGYENI,LMP
62926,01_002_048,Bodor Zoltán,46,EGYENI,JOBBIK
62926,01_002_048,Suhajdáné Toldi Zsanett Dea,5,EGYENI,KIS_OP
62928,01_002_049,Varga Mihály,327,EGYENI,FIDESZ
62928,01_002_049,Szelényi Zsuzsanna,245,EGYENI,OSSZEFOGAS14
62928,01_002_049,Dárdai Zsuzsanna Terézia,69,EGYENI,LMP
62928,01_002_049,Bodor Zoltán,43,EGYENI,JOBBIK
62928,01_002_049,Suhajdáné Toldi Zsanett Dea,6,EGYENI,KIS_OP
62622,01_002_050,Dr. Fónagy János Vilmos,458,EGYENI,FIDESZ
62622,01_002_050,Bauer Tamás,380,EGYENI,OSSZEFOGAS14
62622,01_002_050,Hajdu Mária,96,EGYENI,LMP
62622,01_002_050,Szávay István,75,EGYENI,JOBBIK
62622,01_002_050,Mile Melinda,7,EGYENI,KIS_SEM
62622,01_002_050,Bartha Attila,4,EGYENI,KIS_4K
62622,01_002_050,Szuna Ferenc,3,EGYENI,KIS_KTI
62622,01_002_050,Dr. Németh Julianna Erzsébet,2,EGYENI,KIS_FKGP
62624,01_002_051,Dr. Fónagy János Vilmos,376,EGYENI,FIDESZ
62624,01_002_051,Bauer Tamás,206,EGYENI,OSSZEFOGAS14
62624,01_002_051,Hajdu Mária,53,EGYENI,LMP
62624,01_002_051,Szávay István,37,EGYENI,JOBBIK
62624,01_002_051,Dr. Németh Julianna Erzsébet,4,EGYENI,KIS_FKGP
62624,01_002_051,Mile Melinda,4,EGYENI,KIS_SEM
62624,01_002_051,Bartha Attila,3,EGYENI,KIS_4K
62624,01_002_051,Szuna Ferenc,1,EGYENI,KIS_KTI
62626,01_002_052,Dr. Fónagy János Vilmos,260,EGYENI,FIDESZ
62626,01_002_052,Bauer Tamás,189,EGYENI,OSSZEFOGAS14
62626,01_002_052,Hajdu Mária,58,EGYENI,LMP
62626,01_002_052,Szávay István,37,EGYENI,JOBBIK
