SZAVAZOKOR,MEGYEKOD,MEGYE,OEVK,SZEKHELY,SZH_KER,TELEPULES_SORSZAM,TELEPULES,OEVK26VF,OEVK14,OEVK26_options,OEVK26_isect,METSZET,OEVK26_or_type,OEVK26_or,OEVK26,MI,OEVK26_largest,ATJELENTKEZOK,INDULO,HONOS,ATJELENTKEZO_IDE,ATJELENTKEZO_INNEN,OSSZESEN,URL,TERULET
05_168_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_05,Sátoraljaújhely,,168,Kisrozvágy,05_05,05_05,05_05,05_05,13379647,,,05_05,1,05_05,I,173,165,4,4,169,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-168-001?tab=data,13382982
05_169_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_03,Ózd,,169,Kissikátor,05_03,05_03,05_03,05_03,16594944,,,05_03,1,05_03,I,250,243,5,4,248,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-169-001?tab=data,16594944
05_170_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,170,Kistokaj,05_07,05_07,05_07,05_07,571353,,,05_07,1,05_07,I,859,829,28,25,857,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-170-001?tab=data,571353
05_170_002,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,170,Kistokaj,05_07,05_07,05_07,05_07,1335505,,,05_07,1,05_07,N,963,938,0,24,938,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-170-002?tab=data,1335505
05_171_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_03,Ózd,,171,Komjáti,05_03,05_03,05_03,05_03,17796258,,,05_03,1,05_03,I,148,140,3,5,143,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-171-001?tab=data,17799223
05_172_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_05,Sátoraljaújhely,,172,Komlóska,05_05,05_05,05_05,05_05,48293974,,,05_05,1,05_05,I,216,202,6,10,208,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-172-001?tab=data,48293974
05_173_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_04,Kazincbarcika,,173,Kondó,05_04,05_04,05_04,05_02|05_04,20925|31475113,,,05_04,0|1,05_04,I,490,481,4,10,485,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-173-001?tab=data,31496039
05_174_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_05,Sátoraljaújhely,,174,Korlát,05_05,05_05,05_05,05_05,12799009,,,05_05,1,05_05,I,224,220,2,3,222,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-174-001?tab=data,12799009
05_175_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_05,Sátoraljaújhely,,175,Kovácsvágás,05_05,05_05,05_05,05_05,34259453,,,05_05,1,05_05,I,470,454,2,15,456,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-175-001?tab=data,34259453
05_176_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,176,Köröm,05_07,05_07,05_07,05_06|05_07,3518|13360272,,,05_07,0|1,05_07,I,874,862,6,8,868,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-176-001?tab=data,13363802
05_177_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_04,Kazincbarcika,,177,Krasznokvajda,05_04,05_04,05_04,05_04,18357507,,,05_04,1,05_04,I,362,339,2,15,341,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-177-001?tab=data,18357507
05_178_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_04,Kazincbarcika,,178,Kupa,05_04,05_04,05_04,05_04,12603474,,,05_04,1,05_04,I,128,129,3,1,132,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-178-001?tab=data,12603474
05_179_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_03,Ózd,,179,Kurityán,05_03,05_03,05_03,05_03,527430,,,05_03,1,05_03,N,498,490,0,7,490,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-179-001?tab=data,527430
05_179_002,05,BORSOD-ABAÚJ-ZEMPLÉN,05_03,Ózd,,179,Kurityán,05_03,05_03,05_03,05_03,1109698,,,05_03,1,05_03,I,691,672,8,16,680,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-179-002?tab=data,1109698
05_180_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_04,Kazincbarcika,,180,Lak,05_04,05_04,05_04,05_04,31768831,,,05_04,1,05_04,I,455,447,2,2,449,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-180-001?tab=data,31768831
05_181_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_05,Sátoraljaújhely,,181,Lácacséke,05_05,05_05,05_05,05_05,26399803,,,05_05,1,05_05,I,204,200,4,5,204,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-181-001?tab=data,26405996
05_182_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_04,Kazincbarcika,,182,Ládbesenyõ,05_04,05_04,05_04,05_04,16692683,,,05_04,1,05_04,I,213,208,4,3,212,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-182-001?tab=data,16692683
05_183_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_06,Tiszaújváros,,183,Legyesbénye,05_06,05_06,05_06,05_06,1812866,,,05_06,1,05_06,I,1175,1142,4,20,1146,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-183-001?tab=data,1812866
05_184_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_04,Kazincbarcika,,184,Léh,05_04,05_04,05_04,05_04,13591774,,,05_04,1,05_04,I,335,330,2,0,332,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-184-001?tab=data,13591774
05_185_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_03,Ózd,,185,Lénárddaróc,05_03,05_03,05_03,05_03,8210819,,,05_03,1,05_03,I,226,223,5,2,228,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-185-001?tab=data,8213583
05_186_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_04,Kazincbarcika,,186,Litka,05_04,05_04,05_04,05_04|05_05,10718752|7244,,,05_04,1|0,05_04,I,37,35,3,0,38,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-186-001?tab=data,10725997
05_187_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_05,Sátoraljaújhely,,187,Makkoshotyka,05_05,05_05,05_05,05_05,16776412,,,05_05,1,05_05,I,647,634,6,6,640,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-187-001?tab=data,16776412
05_188_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_03,Ózd,,188,Martonyi,05_03,05_03,05_03,05_03|05_04,28246817|6128,,,05_03,1|0,05_03,I,285,276,6,8,282,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-188-001?tab=data,28252944
05_189_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_06,Tiszaújváros,,189,Mád,05_06,05_06,05_06,05_06,835117,,,05_06,1,05_06,I,921,879,14,36,893,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-189-001?tab=data,835117
05_189_002,05,BORSOD-ABAÚJ-ZEMPLÉN,05_06,Tiszaújváros,,189,Mád,05_06,05_06,05_06,05_06,756493,,,05_06,1,05_06,N,804,759,0,36,759,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-189-002?tab=data,756493
05_190_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,190,Mályi,05_07,05_07,05_07,05_07,2539808,,,05_07,1,05_07,N,824,809,0,17,809,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-190-001?tab=data,2539808
05_190_002,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,190,Mályi,05_07,05_07,05_07,05_01|05_02|05_07,353|1915|5756414,,,05_07,0|0|1,05_07,I,751,739,40,23,779,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-190-002?tab=data,5758682
05_190_003,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,190,Mályi,05_07,05_07,05_07,05_07,659488,,,05_07,1,05_07,N,635,613,0,15,613,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-190-003?tab=data,659488
05_190_004,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,190,Mályi,05_07,05_07,05_07,05_07,342004,,,05_07,1,05_07,N,626,609,0,12,609,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-190-004?tab=data,342004
05_190_005,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,190,Mályi,05_07,05_07,05_07,05_07,383568,,,05_07,1,05_07,N,634,609,0,19,609,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-190-005?tab=data,383568
05_191_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_04,Kazincbarcika,,191,Mályinka,05_04,05_04,05_04,05_02|05_04,14469|38676185,,,05_04,0|1,05_04,I,389,380,12,11,392,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-191-001?tab=data,38696801
05_192_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_06,Tiszaújváros,,192,Megyaszó,05_06,05_06,05_06,05_06,982846,,,05_06,1,05_06,I,647,633,10,7,643,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-192-001?tab=data,982846
05_192_002,05,BORSOD-ABAÚJ-ZEMPLÉN,05_06,Tiszaújváros,,192,Megyaszó,05_06,05_06,05_06,05_06,827550,,,05_06,1,05_06,N,613,586,0,19,586,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-192-002?tab=data,827550
05_192_003,05,BORSOD-ABAÚJ-ZEMPLÉN,05_06,Tiszaújváros,,192,Megyaszó,05_06,05_06,05_06,05_06,892267,,,05_06,1,05_06,N,685,676,0,12,676,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-192-003?tab=data,892267
05_193_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_04,Kazincbarcika,,193,Meszes,05_04,05_04,05_04,05_03|05_04,10238|18367383,,,05_04,0|1,05_04,I,144,140,3,4,143,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-193-001?tab=data,18377620
05_194_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,194,Mezõcsát,05_07,05_07,05_07,05_07,1128910,,,05_07,1,05_07,I,945,927,18,14,945,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-194-001?tab=data,1128910
05_194_002,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,194,Mezõcsát,05_07,05_07,05_07,05_07,895029,,,05_07,1,05_07,N,917,897,0,15,897,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-194-002?tab=data,895029
05_194_003,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,194,Mezõcsát,05_07,05_07,05_07,05_07,1019069,,,05_07,1,05_07,N,975,944,0,19,944,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-194-003?tab=data,1019069
05_194_004,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,194,Mezõcsát,05_07,05_07,05_07,05_07,1797409,,,05_07,1,05_07,N,891,886,0,14,886,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-194-004?tab=data,1797409
05_194_005,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,194,Mezõcsát,05_07,05_07,05_07,05_07,1616683,,,05_07,1,05_07,N,953,932,0,15,932,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-194-005?tab=data,1616683
05_195_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,195,Mezõkeresztes,05_07,05_07,05_07,05_07,1520834,,,05_07,1,05_07,N,592,562,0,18,562,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-195-001?tab=data,1520834
05_195_002,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,195,Mezõkeresztes,05_07,05_07,05_07,05_07,598570,,,05_07,1,05_07,N,559,548,0,7,548,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-195-002?tab=data,598570
05_195_003,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,195,Mezõkeresztes,05_07,05_07,05_07,05_07,1336886,,,05_07,1,05_07,I,576,565,63,12,628,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-195-003?tab=data,1336886
05_195_004,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,195,Mezõkeresztes,05_07,05_07,05_07,05_07,1138219,,,05_07,1,05_07,N,556,546,0,5,546,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-195-004?tab=data,1138219
05_195_005,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,195,Mezõkeresztes,05_07,05_07,05_07,05_07,695733,,,05_07,1,05_07,N,645,642,0,8,642,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-195-005?tab=data,695733
05_196_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,609708,,,05_07,1,05_07,N,930,912,0,21,912,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-001?tab=data,609708
05_196_002,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,770321,,,05_07,1,05_07,N,826,788,0,30,788,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-002?tab=data,770321
05_196_003,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,954183,,,05_07,1,05_07,N,870,839,0,24,839,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-003?tab=data,954183
05_196_004,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,757659,,,05_07,1,05_07,N,871,829,0,30,829,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-004?tab=data,757659
05_196_005,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,496734,,,05_07,1,05_07,N,925,914,0,10,914,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-005?tab=data,496734
05_196_006,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,379478,,,05_07,1,05_07,N,809,781,0,17,781,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-006?tab=data,379478
05_196_007,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,633155,,,05_07,1,05_07,N,780,756,0,25,756,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-007?tab=data,633155
05_196_008,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,2951504,,,05_07,1,05_07,N,757,731,0,22,731,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-008?tab=data,2951504
05_196_009,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,680657,,,05_07,1,05_07,N,780,759,0,16,759,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-009?tab=data,680657
05_196_010,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,709820,,,05_07,1,05_07,N,1069,1018,0,41,1018,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-010?tab=data,709820
05_196_011,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,576571,,,05_07,1,05_07,I,964,947,172,20,1119,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-011?tab=data,576571
05_196_012,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,616397,,,05_07,1,05_07,N,712,682,0,28,682,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-012?tab=data,616397
05_196_013,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,984066,,,05_07,1,05_07,N,850,826,0,15,826,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-013?tab=data,984066
05_196_014,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,952999,,,05_07,1,05_07,N,639,620,0,13,620,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-014?tab=data,952999
05_196_015,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,659981,,,05_07,1,05_07,N,752,719,0,28,719,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-015?tab=data,659981
05_196_016,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,196,Mezõkövesd,05_07,05_07,05_07,05_07,1910085,,,05_07,1,05_07,N,775,733,0,41,733,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-196-016?tab=data,1910089
05_197_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,197,Mezõnagymihály,05_07,05_07,05_07,05_07,98285108,,,05_07,1,05_07,I,831,797,2,19,799,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-197-001?tab=data,98285108
05_198_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,198,Mezõnyárád,05_07,05_07,05_07,05_07,1328586,,,05_07,1,05_07,I,711,692,7,13,699,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-198-001?tab=data,1328586
05_198_002,05,BORSOD-ABAÚJ-ZEMPLÉN,05_07,Mezõkövesd,,198,Mezõnyárád,05_07,05_07,05_07,05_07,945314,,,05_07,1,05_07,N,638,618,0,15,618,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-198-002?tab=data,945314
05_199_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_06,Tiszaújváros,,199,Mezõzombor,05_06,05_06,05_06,05_06,2306882,,,05_06,1,05_06,I,915,905,9,12,914,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-199-001?tab=data,2306882
05_199_002,05,BORSOD-ABAÚJ-ZEMPLÉN,05_06,Tiszaújváros,,199,Mezõzombor,05_06,05_06,05_06,05_06,1675942,,,05_06,1,05_06,N,836,814,0,13,814,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-199-002?tab=data,1675942
05_200_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_05,Sátoraljaújhely,,200,Méra,05_05,05_05,05_05,05_05,928365,,,05_05,1,05_05,I,597,581,5,11,586,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-200-001?tab=data,928365
05_200_002,05,BORSOD-ABAÚJ-ZEMPLÉN,05_05,Sátoraljaújhely,,200,Méra,05_05,05_05,05_05,05_05,956820,,,05_05,1,05_05,N,593,572,0,15,572,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-200-002?tab=data,956820
05_201_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_05,Sátoraljaújhely,,201,Mikóháza,05_05,05_05,05_05,05_05,27191156,,,05_05,1,05_05,I,449,420,7,26,427,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-201-001?tab=data,27191156
05_202_001,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,3111816,,,05_01,1,05_01,N,656,630,0,26,630,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-001?tab=data,3111816
05_202_002,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,1520059,,,05_01,1,05_01,N,861,835,0,20,835,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-002?tab=data,1520059
05_202_003,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,93059,,,05_01,1,05_01,N,889,850,0,35,850,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-003?tab=data,93059
05_202_004,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,2983,,,05_01,1,05_01,N,968,930,0,31,930,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-004?tab=data,2983
05_202_005,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,105192,,,05_01,1,05_01,N,953,932,0,19,932,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-005?tab=data,105192
05_202_006,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,953328,,,05_01,1,05_01,N,1068,1014,0,43,1014,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-006?tab=data,953328
05_202_007,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,77214,,,05_01,1,05_01,N,937,902,0,30,902,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-007?tab=data,77214
05_202_008,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,333578,,,05_01,1,05_01,N,1033,1002,0,26,1002,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-008?tab=data,333578
05_202_009,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,180144,,,05_01,1,05_01,N,847,823,0,24,823,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-009?tab=data,180144
05_202_010,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,387293,,,05_01,1,05_01,N,738,719,0,22,719,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-010?tab=data,387293
05_202_011,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,840262,,,05_01,1,05_01,N,826,804,0,18,804,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-011?tab=data,840262
05_202_012,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,415187,,,05_01,1,05_01,N,1178,1144,0,28,1144,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-012?tab=data,415187
05_202_013,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,493132,,,05_01,1,05_01,N,1046,1004,0,35,1004,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-013?tab=data,493132
05_202_014,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,590948,,,05_01,1,05_01,N,1113,1096,0,24,1096,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-014?tab=data,590948
05_202_015,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,616443,,,05_01,1,05_01,N,714,690,0,24,690,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-015?tab=data,616443
05_202_016,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,542887,,,05_01,1,05_01,N,895,862,0,34,862,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-016?tab=data,542887
05_202_017,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,795958,,,05_01,1,05_01,N,1008,970,0,35,970,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-017?tab=data,795958
05_202_018,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,1420697,,,05_01,1,05_01,N,1083,1057,0,28,1057,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-018?tab=data,1420697
05_202_019,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,530,,,05_01,1,05_01,N,828,800,0,26,800,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-019?tab=data,530
05_202_020,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01|05_02,858713|2900,,,05_01,1|0,05_01,N,870,846,0,30,846,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-020?tab=data,861613
05_202_021,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,456235,,,05_01,1,05_01,N,785,757,0,21,757,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-021?tab=data,456235
05_202_022,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01|05_02,572202|45158,,,05_01,1|0,05_01,N,1103,1074,0,34,1074,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-022?tab=data,617359
05_202_023,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,417605,,,05_01,1,05_01,N,1083,1049,0,31,1049,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-023?tab=data,417605
05_202_024,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,659069,,,05_01,1,05_01,N,1148,1101,0,38,1101,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-024?tab=data,659069
05_202_025,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_01,656442,,,05_01,1,05_01,N,1037,997,0,29,997,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-025?tab=data,656442
05_202_026,05,BORSOD-ABAÚJ-ZEMPLÉN,05_01,Miskolc,,202,Miskolc,05_01,05_01,05_01|05_02,05_02,1011329,,,05_02,1,05_02,N,1021,985,0,29,985,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/05-202-026?tab=data,1011329
