SZAVAZOKOR,MEGYEKOD,MEGYE,OEVK,SZEKHELY,SZH_KER,TELEPULES_SORSZAM,TELEPULES,OEVK26VF,OEVK14,OEVK26_options,OEVK26_isect,METSZET,OEVK26_or_type,OEVK26_or,OEVK26,MI,OEVK26_largest,ATJELENTKEZOK,INDULO,HONOS,ATJELENTKEZO_IDE,ATJELENTKEZO_INNEN,OSSZESEN,URL,TERULET
01_002_004,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,184569,,,01_04,1,01_04,N,1083,994,0,88,994,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-004?tab=data,184569
01_002_005,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,471113,,,01_04,1,01_04,N,1100,1038,0,66,1038,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-005?tab=data,471113
01_002_006,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,381855,,,01_04,1,01_04,N,889,847,0,43,847,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-006?tab=data,381855
01_002_007,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,352929,,,01_04,1,01_04,N,833,770,0,57,770,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-007?tab=data,352929
01_002_008,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,356314,,,01_04,1,01_04,N,938,859,0,73,859,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-008?tab=data,356314
01_002_009,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,298604,,,01_04,1,01_04,N,871,803,0,63,803,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-009?tab=data,298604
01_002_010,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,209592,,,01_04,1,01_04,N,769,692,0,69,692,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-010?tab=data,209592
01_002_011,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,175575,,,01_04,1,01_04,I,611,573,3081,33,3654,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-011?tab=data,175575
01_002_012,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,512747,,,01_04,1,01_04,N,993,927,0,61,927,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-012?tab=data,512747
01_002_013,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,210437,,,01_04,1,01_04,N,687,638,0,51,638,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-013?tab=data,210437
01_002_014,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,285990,,,01_04,1,01_04,N,850,808,0,34,808,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-014?tab=data,285990
01_002_015,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,355797,,,01_04,1,01_04,N,775,731,0,37,731,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-015?tab=data,355797
01_002_016,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,393030,,,01_04,1,01_04,N,1169,1098,0,69,1098,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-016?tab=data,393030
01_002_017,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,97059,,,01_04,1,01_04,N,857,818,0,38,818,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-017?tab=data,97059
01_002_018,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,388885,,,01_04,1,01_04,N,764,703,0,52,703,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-018?tab=data,388885
01_002_019,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,442422,,,01_04,1,01_04,N,892,836,0,54,836,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-019?tab=data,442422
01_002_020,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,380736,,,01_04,1,01_04,N,845,786,0,60,786,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-020?tab=data,380736
01_002_021,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,253083,,,01_04,1,01_04,N,858,804,0,50,804,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-021?tab=data,253083
01_002_022,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,429761,,,01_04,1,01_04,N,878,801,0,69,801,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-022?tab=data,429761
01_002_023,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,408872,,,01_04,1,01_04,N,919,852,0,66,852,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-023?tab=data,408872
01_002_024,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,635981,,,01_04,1,01_04,N,1013,952,0,45,952,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-024?tab=data,635981
01_002_025,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,10603137,,,01_04,1,01_04,N,878,826,0,51,826,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-025?tab=data,10603137
01_002_026,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,312112,,,01_04,1,01_04,N,891,824,0,65,824,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-026?tab=data,312112
01_002_027,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,416829,,,01_04,1,01_04,N,751,703,0,50,703,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-027?tab=data,416829
01_002_028,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,275421,,,01_04,1,01_04,N,699,650,0,42,650,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-028?tab=data,275421
