megye,település,sorszám,evk,számlKijelölt,átjKijelölt,átjel,átjelInnen,honos,induló,összesen
01,003,048,10,N,N,0,33,806,847,806
01,003,049,10,N,N,0,43,825,877,825
01,003,050,10,N,N,0,38,801,847,801
01,003,051,10,N,N,0,24,748,779,748
01,003,052,10,N,N,0,25,926,949,926
01,003,053,10,N,N,0,28,726,758,726
01,003,054,10,N,N,0,39,870,908,870
01,003,055,10,N,N,0,18,807,825,807
01,003,056,10,N,N,0,19,823,838,823
01,003,057,10,N,N,0,27,918,943,918
01,003,058,10,N,N,0,27,787,815,787
01,003,059,10,N,N,0,28,752,789,752
01,003,060,10,N,N,0,46,813,870,813
01,003,061,10,N,N,0,49,848,892,848
01,003,062,10,N,N,0,18,848,867,848
01,003,063,10,N,N,0,22,846,871,846
01,003,064,10,N,N,0,29,736,768,736
01,003,065,10,N,N,0,30,973,1007,973
01,003,066,10,N,N,0,36,792,834,792
01,003,067,10,N,N,0,26,784,824,784
01,003,068,10,N,N,0,35,782,816,782
01,003,069,10,N,N,0,40,746,797,746
01,003,070,10,N,N,0,39,756,801,756
01,003,071,10,N,N,0,30,870,901,870
01,003,072,10,N,N,0,47,852,905,852
01,003,073,10,N,N,0,34,811,854,811
01,003,074,10,N,N,0,45,825,874,825
01,003,075,10,N,N,0,26,704,732,704
01,003,076,10,N,N,0,45,954,997,954
01,003,077,10,N,N,0,37,824,856,824
01,003,078,10,N,N,0,38,806,853,806
01,003,079,10,N,N,0,39,869,921,869
01,003,080,10,N,N,0,38,877,926,877
01,003,081,10,N,N,0,37,933,973,933
01,003,082,10,N,N,0,47,1002,1053,1002
01,003,083,10,N,N,0,44,987,1016,987
01,003,084,10,N,N,0,29,880,917,880
01,003,085,10,N,N,0,22,769,801,769
01,003,086,10,N,N,0,23,763,794,763
01,003,087,10,N,N,0,37,892,935,892
01,003,088,10,N,N,0,23,829,862,829
01,003,089,10,N,N,0,36,933,977,933
01,003,090,10,N,N,0,28,776,812,776
01,003,091,10,N,N,0,18,712,741,712
01,003,092,10,N,N,0,37,918,955,918
01,003,093,10,N,N,0,33,853,884,853
01,003,094,10,N,N,0,28,758,786,758
01,003,095,10,N,N,0,27,765,797,765
01,003,096,10,N,N,0,36,925,967,925
01,003,097,10,N,N,0,28,946,967,946
01,003,098,10,N,N,0,31,666,702,666
01,003,099,10,N,N,0,23,927,958,927
01,003,100,10,N,N,0,19,829,860,829
01,003,101,10,N,N,0,21,829,855,829
01,003,102,10,N,N,0,35,843,883,843
01,003,103,10,N,N,0,30,798,841,798
01,003,104,10,N,N,0,27,738,771,738
01,003,105,10,N,N,0,22,722,741,722
01,003,106,10,N,N,0,24,814,847,814
01,003,107,10,N,N,0,25,750,779,750
01,003,108,10,N,N,0,20,811,831,811
01,003,109,10,N,N,0,18,758,787,758
01,003,110,10,N,N,0,30,766,808,766
01,003,111,10,N,N,0,18,732,749,732
01,003,112,10,N,N,0,20,784,804,784
01,003,200,10,N,I,3828,0,0,0,3828
01,004,001,11,N,N,0,51,1225,1291,1225
01,004,002,11,N,N,0,46,1118,1169,1118
