TIPUS,VALASZTAS,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2014EP,01_001_013,SMS,2
Listas,2014EP,01_001_013,A HAZA NEM ELADÓ,0
Listas,2014EP,01_001_014,FIDESZ-KDNP,249
Listas,2014EP,01_001_014,EGYÜTT-PM,80
Listas,2014EP,01_001_014,DEMOKRATIKUS KOALÍCIÓ,61
Listas,2014EP,01_001_014,LMP,51
Listas,2014EP,01_001_014,MSZP,32
Listas,2014EP,01_001_014,JOBBIK,25
Listas,2014EP,01_001_014,SMS,0
Listas,2014EP,01_001_014,A HAZA NEM ELADÓ,0
Listas,2014EP,01_001_015,FIDESZ-KDNP,248
Listas,2014EP,01_001_015,EGYÜTT-PM,81
Listas,2014EP,01_001_015,LMP,57
Listas,2014EP,01_001_015,DEMOKRATIKUS KOALÍCIÓ,48
Listas,2014EP,01_001_015,MSZP,45
Listas,2014EP,01_001_015,JOBBIK,37
Listas,2014EP,01_001_015,A HAZA NEM ELADÓ,1
Listas,2014EP,01_001_015,SMS,0
Listas,2014EP,01_001_016,FIDESZ-KDNP,286
Listas,2014EP,01_001_016,EGYÜTT-PM,78
Listas,2014EP,01_001_016,LMP,78
Listas,2014EP,01_001_016,DEMOKRATIKUS KOALÍCIÓ,55
Listas,2014EP,01_001_016,JOBBIK,38
Listas,2014EP,01_001_016,MSZP,24
Listas,2014EP,01_001_016,SMS,1
Listas,2014EP,01_001_016,A HAZA NEM ELADÓ,1
Listas,2014EP,01_001_017,FIDESZ-KDNP,244
Listas,2014EP,01_001_017,EGYÜTT-PM,90
Listas,2014EP,01_001_017,DEMOKRATIKUS KOALÍCIÓ,65
Listas,2014EP,01_001_017,LMP,57
Listas,2014EP,01_001_017,MSZP,44
Listas,2014EP,01_001_017,JOBBIK,25
Listas,2014EP,01_001_017,SMS,0
Listas,2014EP,01_001_017,A HAZA NEM ELADÓ,0
Listas,2014EP,01_001_018,FIDESZ-KDNP,274
Listas,2014EP,01_001_018,EGYÜTT-PM,65
Listas,2014EP,01_001_018,DEMOKRATIKUS KOALÍCIÓ,57
Listas,2014EP,01_001_018,LMP,49
Listas,2014EP,01_001_018,MSZP,33
Listas,2014EP,01_001_018,JOBBIK,23
Listas,2014EP,01_001_018,A HAZA NEM ELADÓ,2
Listas,2014EP,01_001_018,SMS,0
Listas,2014EP,01_001_019,FIDESZ-KDNP,230
Listas,2014EP,01_001_019,DEMOKRATIKUS KOALÍCIÓ,61
Listas,2014EP,01_001_019,LMP,55
Listas,2014EP,01_001_019,EGYÜTT-PM,55
Listas,2014EP,01_001_019,JOBBIK,44
Listas,2014EP,01_001_019,MSZP,24
Listas,2014EP,01_001_019,A HAZA NEM ELADÓ,5
Listas,2014EP,01_001_019,SMS,1
Listas,2014EP,01_001_020,FIDESZ-KDNP,238
Listas,2014EP,01_001_020,EGYÜTT-PM,87
Listas,2014EP,01_001_020,DEMOKRATIKUS KOALÍCIÓ,65
Listas,2014EP,01_001_020,LMP,61
Listas,2014EP,01_001_020,MSZP,52
Listas,2014EP,01_001_020,JOBBIK,25
Listas,2014EP,01_001_020,SMS,1
Listas,2014EP,01_001_020,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_001,FIDESZ-KDNP,280
Listas,2014EP,01_002_001,EGYÜTT-PM,71
Listas,2014EP,01_002_001,DEMOKRATIKUS KOALÍCIÓ,59
Listas,2014EP,01_002_001,LMP,48
Listas,2014EP,01_002_001,JOBBIK,45
Listas,2014EP,01_002_001,MSZP,37
Listas,2014EP,01_002_001,A HAZA NEM ELADÓ,3
Listas,2014EP,01_002_001,SMS,2
Listas,2014EP,01_002_002,FIDESZ-KDNP,252
Listas,2014EP,01_002_002,EGYÜTT-PM,85
Listas,2014EP,01_002_002,DEMOKRATIKUS KOALÍCIÓ,57
Listas,2014EP,01_002_002,LMP,45
Listas,2014EP,01_002_002,JOBBIK,36
Listas,2014EP,01_002_002,MSZP,33
Listas,2014EP,01_002_002,SMS,1
Listas,2014EP,01_002_002,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_003,FIDESZ-KDNP,160
Listas,2014EP,01_002_003,EGYÜTT-PM,45
Listas,2014EP,01_002_003,DEMOKRATIKUS KOALÍCIÓ,39
Listas,2014EP,01_002_003,MSZP,37
Listas,2014EP,01_002_003,LMP,27
Listas,2014EP,01_002_003,JOBBIK,23
Listas,2014EP,01_002_003,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_003,SMS,0
Listas,2014EP,01_002_004,FIDESZ-KDNP,255
Listas,2014EP,01_002_004,EGYÜTT-PM,67
Listas,2014EP,01_002_004,DEMOKRATIKUS KOALÍCIÓ,55
Listas,2014EP,01_002_004,MSZP,44
Listas,2014EP,01_002_004,LMP,36
Listas,2014EP,01_002_004,JOBBIK,34
Listas,2014EP,01_002_004,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_004,SMS,0
Listas,2014EP,01_002_005,FIDESZ-KDNP,198
Listas,2014EP,01_002_005,EGYÜTT-PM,117
Listas,2014EP,01_002_005,DEMOKRATIKUS KOALÍCIÓ,77
Listas,2014EP,01_002_005,MSZP,50
Listas,2014EP,01_002_005,LMP,36
Listas,2014EP,01_002_005,JOBBIK,22
Listas,2014EP,01_002_005,SMS,2
Listas,2014EP,01_002_005,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_006,FIDESZ-KDNP,239
Listas,2014EP,01_002_006,EGYÜTT-PM,78
Listas,2014EP,01_002_006,MSZP,48
Listas,2014EP,01_002_006,DEMOKRATIKUS KOALÍCIÓ,47
Listas,2014EP,01_002_006,JOBBIK,33
Listas,2014EP,01_002_006,LMP,27
Listas,2014EP,01_002_006,SMS,0
Listas,2014EP,01_002_006,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_007,FIDESZ-KDNP,199
Listas,2014EP,01_002_007,DEMOKRATIKUS KOALÍCIÓ,79
Listas,2014EP,01_002_007,EGYÜTT-PM,79
Listas,2014EP,01_002_007,LMP,44
Listas,2014EP,01_002_007,MSZP,39
Listas,2014EP,01_002_007,JOBBIK,24
Listas,2014EP,01_002_007,SMS,3
Listas,2014EP,01_002_007,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_008,FIDESZ-KDNP,287
Listas,2014EP,01_002_008,EGYÜTT-PM,74
Listas,2014EP,01_002_008,DEMOKRATIKUS KOALÍCIÓ,71
Listas,2014EP,01_002_008,MSZP,49
Listas,2014EP,01_002_008,LMP,34
Listas,2014EP,01_002_008,JOBBIK,24
Listas,2014EP,01_002_008,SMS,1
Listas,2014EP,01_002_008,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_009,FIDESZ-KDNP,210
Listas,2014EP,01_002_009,EGYÜTT-PM,95
Listas,2014EP,01_002_009,DEMOKRATIKUS KOALÍCIÓ,76
Listas,2014EP,01_002_009,LMP,42
Listas,2014EP,01_002_009,MSZP,38
Listas,2014EP,01_002_009,JOBBIK,18
Listas,2014EP,01_002_009,SMS,1
Listas,2014EP,01_002_009,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_010,FIDESZ-KDNP,221
Listas,2014EP,01_002_010,EGYÜTT-PM,82
Listas,2014EP,01_002_010,DEMOKRATIKUS KOALÍCIÓ,50
Listas,2014EP,01_002_010,LMP,32
Listas,2014EP,01_002_010,MSZP,30
Listas,2014EP,01_002_010,JOBBIK,20
Listas,2014EP,01_002_010,SMS,2
Listas,2014EP,01_002_010,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_011,FIDESZ-KDNP,565
Listas,2014EP,01_002_011,LMP,187
Listas,2014EP,01_002_011,EGYÜTT-PM,183
Listas,2014EP,01_002_011,JOBBIK,106
Listas,2014EP,01_002_011,DEMOKRATIKUS KOALÍCIÓ,92
Listas,2014EP,01_002_011,MSZP,65
Listas,2014EP,01_002_011,SMS,5
Listas,2014EP,01_002_011,A HAZA NEM ELADÓ,3
Listas,2014EP,01_002_012,FIDESZ-KDNP,272
Listas,2014EP,01_002_012,EGYÜTT-PM,143
Listas,2014EP,01_002_012,DEMOKRATIKUS KOALÍCIÓ,81
Listas,2014EP,01_002_012,LMP,54
Listas,2014EP,01_002_012,MSZP,39
