Megyekod,Telepuleskod,Szavkor,OEVK ID,Metszet terulet
01,003,075,0111,"73,289"
01,003,076,0111,"219,150"
01,003,077,0111,"240,711"
01,003,078,0111,"999,821"
01,003,079,0111,"675,175"
01,003,080,0111,"539,569"
01,003,081,0111,"691,279"
01,003,082,0111,"763,317"
01,003,083,0111,"722,708"
01,003,084,0111,"787,915"
01,003,085,0111,"116,363"
01,003,086,0111,"116,623"
01,003,087,0111,"50,346"
01,003,088,0111,"23,075"
01,003,089,0111,"100,427"
01,003,090,0111,"43,396"
01,003,091,0111,"95,249"
01,003,092,0111,"45,560"
01,003,093,0111,"81,287"
01,003,094,0111,"160,743"
01,003,095,0111,"844,047"
01,003,096,0111,"43,331"
01,003,097,0111,"36,514"
01,003,098,0111,"25,436"
01,003,099,0111,"61,818"
01,003,100,0111,"96,036"
01,003,101,0111,"34,217"
01,003,102,0111,"45,885"
01,003,103,0111,"86,000"
01,003,104,0111,"46,868"
01,003,105,0111,"86,132"
01,003,106,0111,"80,626"
01,003,107,0111,"38,150"
01,003,108,0111,"23,139"
01,003,109,0111,"63,649"
01,003,110,0111,"36,119"
01,003,111,0111,"172,400"
01,003,112,0111,"316,855"
01,003,200,0111,0
01,004,001,0113,"1,358,713"
01,004,002,0113,"116,073"
01,004,003,0113,"139,286"
01,004,004,0113,"1,400,953"
01,004,005,0113,"122,236"
01,004,006,0113,"1,713,112"
01,004,007,0113,"312,472"
01,004,008,0113,"44,394"
01,004,009,0113,"53,049"
01,004,010,0113,"52,198"
01,004,011,0113,"232,990"
01,004,012,0113,"100,004"
01,004,013,0113,"183,612"
01,004,014,0113,"95,477"
01,004,015,0113,"128,262"
01,004,016,0112,"958,103"
01,004,016,0113,"4,323,192"
01,004,017,0112,"876,976"
01,004,018,0112,"461,977"
01,004,019,0112,"462,881"
01,004,020,0112,"427,669"
01,004,020,0113,"455,777"
01,004,021,0113,"376,781"
01,004,022,0113,"208,452"
01,004,023,0113,"281,362"
01,004,024,0113,"112,582"
01,004,025,0113,"223,134"
01,004,026,0112,15
01,004,026,0113,"743,788"
01,004,027,0112,"801,724"
01,004,027,0113,"1,017"
01,004,028,0112,"413,817"
01,004,028,0113,"112,057"
01,004,029,0112,"342,200"
01,004,030,0112,"235,055"
01,004,031,0112,"2,569,486"
01,004,032,0112,"588,908"
01,004,032,0113,736
01,004,033,0112,"152,176"
01,004,034,0112,"431,270"
01,004,035,0112,"231,965"
01,004,036,0112,"336,728"
01,004,037,0112,"171,318"
01,004,038,0112,"178,798"
01,004,039,0112,"101,362"
01,004,040,0112,"245,148"
01,004,041,0112,"562,778"
01,004,042,0112,"70,944"
01,004,043,0112,"109,368"
01,004,044,0112,"97,105"
01,004,045,0112,"119,335"
01,004,046,0112,"121,568"
01,004,047,0112,"64,127"
01,004,048,0112,"111,012"
01,004,049,0112,"113,769"
01,004,050,0112,"106,490"
01,004,051,0112,"1,756,082"
01,004,052,0112,"189,022"
01,004,053,0112,"179,054"
01,004,054,0112,"99,921"
01,004,055,0112,"165,816"
01,004,056,0112,"103,268"
01,004,057,0112,"169,098"
01,004,058,0112,"43,144"
01,004,059,0112,"83,142"
01,004,060,0112,"85,503"
01,004,061,0112,"142,279"
01,004,062,0112,"61,829"
01,004,063,0112,"36,980"
01,004,064,0112,"67,076"
01,004,065,0112,"1,569,872"
01,004,066,0112,"76,652"
01,004,067,0112,"120,847"
01,004,068,0112,"177,309"
01,004,069,0112,"103,012"
01,004,070,0112,"331,205"
01,004,080,0112,"17,468,641"
01,004,080,0113,"12,941,089"
01,005,001,0102,"81,744"
01,005,002,0101,"91,304"
01,005,002,0102,"73,950"
01,005,003,0102,"110,196"
01,005,004,0101,"39,471"
01,005,004,0102,"71,708"
01,005,005,0101,"15,784"
01,005,005,0102,"129,217"
01,005,006,0101,"51,538"
01,005,006,0102,"118,441"
01,005,007,0101,"183,853"
01,005,007,0102,"10,508"
01,005,008,0101,"376,324"
01,005,009,0101,"216,576"
01,005,010,0101,"257,740"
01,005,011,0101,"182,822"
01,005,012,0101,"190,295"
01,005,013,0101,"276,813"
01,005,014,0101,"188,783"
01,005,015,0101,"203,471"
01,005,016,0101,"72,958"
01,006,001,0101,"95,953"
01,006,001,0105,"749,643"
01,006,002,0101,"75,910"
01,006,003,0101,"46,084"
01,006,004,0101,"80,892"
01,006,005,0101,"79,385"
01,006,006,0101,"86,269"
01,006,007,0101,"152,279"
01,006,008,0101,"101,280"
01,006,009,0101,"94,399"
01,006,010,0101,"65,755"
01,006,010,0105,"22,022"
01,006,011,0101,143
01,006,011,0105,"71,050"
01,006,012,0105,"48,117"
01,006,013,0105,"54,214"
01,006,014,0105,"77,225"
01,006,015,0105,"88,634"
01,006,016,0105,"57,886"
01,006,017,0105,"52,838"
01,006,018,0105,"73,489"
01,006,019,0105,"57,690"
01,006,020,0105,"57,363"
01,006,021,0105,"51,003"
01,006,022,0105,"56,707"
01,006,023,0105,"194,737"
01,006,024,0105,"162,390"
01,006,025,0101,"65,665"
01,006,025,0105,"16,066"
01,006,025,0106,213
01,006,026,0101,68
01,006,026,0105,"104,332"
01,006,026,0106,621
01,006,027,0105,"89,224"
01,006,028,0105,"51,514"
01,006,028,0106,"1,064"
01,006,029,0105,"130,462"
01,006,030,0105,"300,853"
01,006,030,0106,4
01,007,001,0101,"97,271"
01,007,001,0102,"2,504"
01,007,002,0101,"130,367"
01,007,002,0102,938
01,007,003,0101,"115,505"
01,007,004,0101,"49,724"
01,007,005,0101,"111,513"
01,007,006,0101,"125,081"
01,007,007,0101,"133,470"
01,007,008,0101,"52,183"
01,007,009,0101,"45,578"
01,007,009,0106,"32,762"
01,007,010,0106,"93,026"
01,007,011,0106,"53,496"
01,007,012,0106,"39,794"
01,007,013,0106,"67,919"
01,007,014,0106,"84,310"
01,007,015,0106,"114,271"
01,007,016,0101,"35,695"
01,007,016,0106,"55,561"
01,007,017,0101,"15,823"
01,007,017,0106,"57,193"
01,007,018,0106,"74,213"
01,007,019,0106,"60,053"
01,007,020,0101,"1,734"
01,007,020,0106,"105,774"
01,007,021,0106,"72,051"
01,007,022,0106,"139,317"
01,007,023,0106,"57,433"
01,007,024,0106,"68,511"
01,007,025,0106,"48,254"
01,007,026,0106,"100,571"
01,007,027,0106,"91,000"
01,007,028,0106,"199,176"
01,007,029,0106,"60,711"
01,007,030,0106,"65,956"
01,007,031,0106,"46,812"
01,007,032,0106,"48,582"
01,007,033,0106,"47,730"
01,007,034,0106,"41,371"
01,007,035,0106,"59,991"
01,007,036,0106,"71,989"
01,007,037,0106,"63,532"
01,007,038,0106,"63,467"
01,008,001,0102,"305,488"
01,008,002,0102,"85,223"
01,008,003,0102,"112,299"
01,008,004,0102,"51,659"
01,008,005,0102,"109,676"
01,008,006,0102,"49,103"
01,008,007,0102,"81,620"
01,008,008,0102,"33,943"
01,008,009,0102,"68,967"
01,008,010,0102,"137,474"
01,008,011,0102,"66,341"
01,008,012,0102,"95,192"
01,008,013,0102,"72,574"
01,008,014,0102,"133,348"
01,008,015,0102,"54,052"
01,008,016,0102,"72,182"
01,008,017,0102,"58,088"
01,008,018,0102,"73,714"
01,008,019,0102,"92,883"
01,008,020,0102,"42,876"
01,008,021,0102,"42,810"
01,008,022,0102,"87,454"
01,008,023,0102,"65,755"
01,008,023,0106,0
01,008,024,0102,"63,987"
01,008,025,0102,"46,876"
01,008,026,0102,"26,553"
01,008,027,0102,"33,830"
01,008,028,0102,"82,806"
01,008,029,0102,"21,177"
01,008,030,0102,"120,048"
01,008,031,0102,"73,953"
01,008,032,0102,"322,501"
01,008,033,0102,"63,989"
01,008,034,0102,"62,416"
01,008,035,0102,"66,546"
01,008,036,0102,"61,375"
01,008,037,0102,"44,453"
01,008,038,0102,"47,211"
01,008,039,0102,"27,799"
01,008,040,0102,"98,531"
01,008,041,0102,"1,405,991"
01,008,041,0106,"224,184"
01,008,041,0107,"17,561"
01,008,042,0102,"101,705"
01,008,043,0102,"75,663"
01,008,044,0102,"52,649"
01,008,045,0102,"868,205"
01,008,046,0102,"544,603"
01,008,047,0102,"534,218"
01,008,048,0102,"382,874"
01,008,049,0102,"249,220"
01,008,049,0107,"483,065"
01,008,050,0102,288
01,008,050,0107,"481,206"
01,008,051,0107,"92,981"
01,009,001,0102,"202,825"
01,009,002,0102,"67,980"
01,009,003,0102,"80,764"
01,009,004,0102,"129,671"
01,009,005,0102,"66,212"
01,009,006,0102,"75,192"
01,009,007,0102,"118,066"
01,009,008,0102,"116,956"
01,009,009,0102,"79,455"
01,009,010,0102,"47,661"
01,009,011,0102,"80,347"
01,009,012,0102,"53,889"
01,009,013,0102,"61,757"
01,009,014,0102,"64,576"
01,009,015,0102,"85,229"
01,009,016,0102,"67,134"
01,009,017,0102,"120,757"
01,009,018,0102,"122,003"
01,009,019,0102,"115,514"
01,009,020,0102,"106,274"
01,009,021,0102,"66,021"
01,009,022,0102,"126,731"
01,009,023,0102,"58,482"
01,009,024,0102,"60,384"
01,009,025,0102,"43,797"
01,009,026,0102,"84,053"
01,009,027,0102,"49,368"
01,009,028,0102,"89,031"
01,009,029,0102,"44,384"
01,009,030,0102,"383,322"
01,009,031,0102,"197,074"
01,009,032,0102,"95,653"
01,009,033,0102,"1,520,531"
01,009,033,0109,"748,779"
01,009,034,0102,"416,042"
01,009,034,0109,72
01,009,035,0102,"29,445"
01,009,035,0109,"7,616,296"
01,009,035,0116,"5,496"
01,009,036,0108,"9,458"
01,009,036,0109,"804,014"
01,009,037,0108,"49,765"
01,009,037,0109,"2,010,252"
01,009,038,0108,"127,672"
01,009,039,0108,"89,772"
01,009,040,0108,"125,511"
01,009,041,0108,"65,774"
01,009,042,0108,"148,334"
01,009,043,0108,"474,790"
01,009,044,0108,"262,376"
01,009,045,0108,"102,889"
01,009,046,0108,"278,580"
01,009,046,0109,"6,151"
01,009,047,0108,"104,985"
01,009,048,0108,"115,214"
01,009,049,0108,"117,642"
01,009,050,0108,"249,457"
01,010,001,0107,"141,246"
01,010,002,0107,"1,119,568"
01,010,003,0107,"67,807"
01,010,004,0102,"6,140"
01,010,004,0107,"787,531"
01,010,005,0107,"136,011"
01,010,006,0102,"14,225"
01,010,006,0107,"1,519,858"
01,010,007,0107,"930,838"
01,010,008,0107,"947,042"
01,010,009,0107,"1,650,779"
01,010,009,0108,7
01,010,009,0109,"12,393"
01,010,010,0107,"113,026"
01,010,010,0108,"1,960"
01,010,011,0107,"82,547"
01,010,011,0108,"2,544"
01,010,012,0107,"1,127,404"
01,010,012,0108,"65,116"
01,010,013,0107,"1,687,339"
01,010,014,0107,"199,298"
01,010,015,0107,"130,310"
01,010,016,0107,"24,724"
01,010,017,0107,"335,788"
01,010,018,0107,"126,770"
01,010,019,0107,"110,901"
01,010,020,0107,"94,572"
01,010,021,0107,"110,905"
01,010,022,0107,"116,805"
01,010,023,0107,"2,161,888"
01,010,024,0107,"156,093"
01,010,025,0107,"94,118"
01,010,026,0107,"99,627"
01,010,027,0107,"170,007"
01,010,028,0107,"2,134,015"
01,010,028,0114,"1,872,813"
01,010,029,0114,"7,454,805"
01,010,029,0115,"6,115"
01,010,030,0107,"117,391"
01,010,031,0107,"86,110"
01,010,032,0107,"24,069"
01,010,033,0107,"118,771"
01,010,034,0107,"185,077"
01,010,035,0107,"356,911"
01,010,036,0107,"654,418"
01,010,037,0107,"894,550"
01,010,038,0107,"129,604"
01,010,039,0107,"159,450"
01,010,040,0107,"133,380"
01,010,040,0114,"2,262"
01,010,041,0107,"417,994"
01,010,042,0107,"225,360"
01,010,043,0107,"173,082"
01,010,044,0107,"412,336"
01,010,045,0107,"1,678,733"
01,010,045,0108,795
01,010,045,0114,"2,024"
01,010,046,0107,"173,811"
01,010,047,0107,"351,612"
01,010,047,0114,"1,072"
01,010,048,0107,"1,508,917"
01,010,048,0114,"3,224,200"
01,010,049,0107,"1,838"
01,010,049,0114,"247,542"
01,010,050,0107,424
01,010,050,0114,"355,292"
01,010,051,0107,193
01,010,051,0114,"38,835"
01,010,052,0114,"162,280"
01,010,053,0107,803
01,010,053,0108,"22,658"
01,010,053,0114,"590,221"
01,010,054,0107,39
01,010,054,0114,"80,706"
01,010,055,0108,"14,390"
01,010,055,0114,"666,887"
01,010,056,0114,"465,343"
01,010,057,0114,"71,695"
01,010,058,0107,60
01,010,058,0114,"69,535"
01,010,059,0107,262
01,010,059,0114,"51,295"
01,010,060,0107,"254,501"
01,010,060,0114,"65,525"
01,010,061,0107,401
01,010,061,0114,"47,548"
01,010,062,0114,"32,207"
01,010,063,0114,"97,869"
01,010,064,0114,"9,015,329"
01,010,065,0114,"227,749"
01,010,066,0114,"60,872"
01,010,067,0114,"376,997"
01,010,068,0114,"590,380"
01,010,068,0115,"14,709"
01,010,069,0114,"38,045"
01,011,001,0101,"1,000,605"
01,011,002,0101,"120,285"
01,011,003,0101,"71,253"
01,011,004,0101,"52,965"
01,011,005,0101,"258,391"
01,011,006,0101,"578,968"
01,011,007,0101,"412,456"
01,011,008,0101,"58,144"
01,011,009,0101,"276,281"
01,011,009,0102,25
01,011,010,0101,"126,381"
01,011,011,0101,"72,892"
01,011,012,0101,"199,146"
01,011,012,0102,529
01,011,013,0101,"1,443,094"
01,011,013,0102,"14,467"
01,011,013,0109,556
01,011,014,0101,"106,387"
01,011,015,0101,"159,280"
01,011,016,0101,"115,759"
01,011,017,0101,"184,717"
01,011,018,0101,"78,789"
01,011,019,0101,"82,328"
01,011,020,0101,"201,679"
01,011,021,0101,"281,711"
01,011,022,0101,"280,395"
01,011,023,0101,"334,935"
01,011,023,0103,"46,515"
01,011,024,0101,"89,029"
01,011,024,0103,"158,321"
01,011,025,0101,"287,126"
01,011,025,0103,"42,093"
01,011,026,0101,"2,068"
01,011,026,0103,"214,416"
01,011,027,0101,"115,427"
01,011,028,0101,"107,691"
01,011,029,0101,"115,485"
01,011,029,0110,135
01,011,030,0101,"41,956"
01,011,030,0103,"358,152"
01,011,030,0110,24
01,011,031,0103,"531,641"
01,011,032,0101,"43,072"
01,011,032,0103,"618,875"
01,011,033,0103,"1,020,392"
01,011,034,0103,"471,316"
01,011,035,0103,"420,998"
01,011,036,0103,"315,422"
01,011,037,0103,"205,709"
01,011,038,0103,"365,607"
01,011,039,0103,"398,439"
01,011,040,0103,"445,605"
01,011,041,0103,"448,929"
01,011,042,0103,"384,920"
01,011,043,0103,"197,836"
01,011,044,0103,"63,237"
01,011,045,0103,"109,895"
01,011,046,0103,"149,937"
01,011,047,0103,"41,611"
01,011,048,0103,"97,048"
01,011,049,0103,"51,243"
01,011,050,0103,"513,796"
01,011,051,0103,"1,964,913"
01,011,052,0103,"3,901,735"
01,011,053,0103,"1,065,441"
01,011,054,0103,"3,679,914"
01,011,054,0110,"12,738"
01,011,055,0103,"143,855"
01,011,055,0110,"1,441"
01,011,056,0103,"225,999"
01,011,056,0110,"19,374"
01,011,057,0103,"87,359"
01,011,058,0103,"683,442"
01,011,059,0103,"1,178,348"
01,011,059,0110,"26,666"
01,011,060,0101,55
01,011,060,0103,"446,424"
01,011,060,0110,311
01,011,061,0103,"221,396"
01,011,062,0103,"92,611"
01,011,063,0103,"117,451"
01,011,064,0101,"3,908"
01,011,064,0103,"126,913"
01,011,064,0110,"156,206"
01,011,065,0101,561
01,011,065,0103,993
01,011,065,0110,"317,981"
01,011,066,0103,"21,219"
01,011,066,0110,"225,092"
01,011,067,0103,"44,353"
01,011,067,0110,"68,641"
