JKV_AZONOSITO,SZAVAZOKOR,VALASZTOPOLGAR,MEGJELENTEK,URNABAN_LEVO,ELTERES,ERVENYTELEN,ERVENYES,TIPUS,ERVENYES_SZAVAZASI_IRATOK,IRATOKBAN_LEVO_SZAVAZOLAP
43195,01_005_008,4931,4371,4364,-7,82,4282,EGYENI,,
43197,01_005_009,887,680,674,-6,13,661,EGYENI,,
43199,01_005_010,524,377,377,0,7,370,EGYENI,,
43201,01_005_011,682,430,429,-1,15,414,EGYENI,,
43203,01_005_012,956,712,712,0,13,699,EGYENI,,
43205,01_005_013,898,668,667,-1,3,664,EGYENI,,
43207,01_005_014,958,712,712,0,8,704,EGYENI,,
43209,01_005_015,869,651,651,0,15,636,EGYENI,,
43211,01_005_016,820,611,610,-1,9,601,EGYENI,,
43213,01_005_017,792,606,606,0,9,597,EGYENI,,
43215,01_005_018,836,641,641,0,13,628,EGYENI,,
43217,01_005_019,853,673,673,0,8,665,EGYENI,,
43219,01_005_020,946,722,721,-1,10,711,EGYENI,,
43221,01_005_021,951,714,709,-5,3,706,EGYENI,,
43223,01_006_001,818,574,574,0,5,569,EGYENI,,
43225,01_006_002,669,450,450,0,1,449,EGYENI,,
43227,01_006_003,737,510,510,0,6,504,EGYENI,,
43229,01_006_004,782,544,544,0,8,536,EGYENI,,
43231,01_006_005,831,567,567,0,1,566,EGYENI,,
43233,01_006_006,704,463,464,1,10,454,EGYENI,,
43235,01_006_007,755,498,498,0,8,490,EGYENI,,
43237,01_006_008,672,457,457,0,0,457,EGYENI,,
43239,01_006_009,729,475,474,-1,4,470,EGYENI,,
43241,01_006_010,717,503,503,0,1,502,EGYENI,,
43243,01_006_011,747,539,537,-2,7,530,EGYENI,,
43245,01_006_012,842,588,586,-2,3,583,EGYENI,,
43247,01_006_013,849,558,558,0,2,556,EGYENI,,
43249,01_006_014,902,611,611,0,5,606,EGYENI,,
43251,01_006_015,919,654,654,0,6,648,EGYENI,,
43253,01_006_016,932,627,626,-1,3,623,EGYENI,,
43255,01_006_017,932,614,614,0,6,608,EGYENI,,
43257,01_006_018,977,664,664,0,4,660,EGYENI,,
43259,01_006_019,1018,697,697,0,9,688,EGYENI,,
43261,01_006_020,790,560,560,0,4,556,EGYENI,,
43263,01_006_021,924,698,698,0,9,689,EGYENI,,
43265,01_006_022,874,590,588,-2,5,583,EGYENI,,
43267,01_006_023,969,700,699,-1,5,694,EGYENI,,
43269,01_006_024,903,649,649,0,3,646,EGYENI,,
43271,01_006_025,662,494,494,0,3,491,EGYENI,,
43273,01_006_026,762,450,451,1,7,444,EGYENI,,
43275,01_006_027,928,672,671,-1,2,669,EGYENI,,
43277,01_006_028,790,580,580,0,6,574,EGYENI,,
43279,01_006_029,938,705,705,0,6,699,EGYENI,,
43281,01_006_030,768,579,577,-2,3,574,EGYENI,,
43283,01_007_001,711,489,489,0,3,486,EGYENI,,
43285,01_007_002,696,404,402,-2,4,398,EGYENI,,
43287,01_007_003,848,496,496,0,1,495,EGYENI,,
43289,01_007_004,713,443,443,0,7,436,EGYENI,,
43291,01_007_005,993,674,672,-2,9,663,EGYENI,,
43293,01_007_006,970,682,682,0,5,677,EGYENI,,
43295,01_007_007,964,621,619,-2,2,617,EGYENI,,
43297,01_007_008,881,592,592,0,7,585,EGYENI,,
43299,01_007_009,754,464,463,-1,6,457,EGYENI,,
43301,01_007_010,811,346,346,0,0,346,EGYENI,,
43303,01_007_011,4384,3871,3859,-12,32,3827,EGYENI,,
43305,01_007_012,1008,659,658,-1,6,652,EGYENI,,
43307,01_007_013,930,616,616,0,5,611,EGYENI,,
43309,01_007_014,1121,816,815,-1,7,808,EGYENI,,
43311,01_007_015,921,610,610,0,2,608,EGYENI,,
43313,01_007_016,1099,775,775,0,10,765,EGYENI,,
43315,01_007_017,1023,729,725,-4,9,716,EGYENI,,
43317,01_007_018,961,683,681,-2,3,678,EGYENI,,
43711,01_007_019,956,662,662,0,2,660,EGYENI,,
43713,01_007_020,962,688,688,0,6,682,EGYENI,,
43715,01_007_021,978,700,698,-2,5,693,EGYENI,,
43717,01_007_022,931,679,679,0,11,668,EGYENI,,
43719,01_007_023,1013,688,688,0,4,684,EGYENI,,
43721,01_007_024,1115,822,819,-3,9,810,EGYENI,,
43723,01_007_025,1163,881,881,0,5,876,EGYENI,,
43725,01_007_026,1046,703,703,0,11,692,EGYENI,,
43727,01_007_027,1014,735,735,0,6,729,EGYENI,,
43729,01_007_028,1003,723,722,-1,9,713,EGYENI,,
43731,01_007_029,1052,712,712,0,17,695,EGYENI,,
43733,01_007_030,1062,672,672,0,9,663,EGYENI,,
43735,01_007_031,1078,707,705,-2,5,700,EGYENI,,
43737,01_007_032,1128,693,691,-2,7,684,EGYENI,,
43739,01_007_033,1157,808,806,-2,11,795,EGYENI,,
43741,01_007_034,1079,704,703,-1,11,692,EGYENI,,
43743,01_007_035,1111,782,775,-7,5,770,EGYENI,,
43745,01_007_036,885,549,549,0,9,540,EGYENI,,
43747,01_007_037,948,614,613,-1,10,603,EGYENI,,
43749,01_007_038,988,637,637,0,4,633,EGYENI,,
43751,01_008_001,770,559,558,-1,14,544,EGYENI,,
43753,01_008_002,747,541,541,0,7,534,EGYENI,,
43755,01_008_003,713,536,536,0,11,525,EGYENI,,
43757,01_008_004,652,476,476,0,11,465,EGYENI,,
43759,01_008_005,772,551,551,0,18,533,EGYENI,,
43761,01_008_006,654,482,482,0,17,465,EGYENI,,
43763,01_008_007,986,697,697,0,3,694,EGYENI,,
43765,01_008_008,1322,426,426,0,1,425,EGYENI,,
43767,01_008_009,889,668,668,0,16,652,EGYENI,,
43769,01_008_010,756,571,568,-3,19,549,EGYENI,,
43771,01_008_011,1043,751,749,-2,21,728,EGYENI,,
43773,01_008_012,724,439,439,0,4,435,EGYENI,,
43775,01_008_013,1046,629,625,-4,3,622,EGYENI,,
43777,01_008_014,1091,749,747,-2,1,746,EGYENI,,
43779,01_008_015,938,553,553,0,5,548,EGYENI,,
43781,01_008_016,1033,709,707,-2,4,703,EGYENI,,
43783,01_008_017,1014,726,725,-1,4,721,EGYENI,,
43785,01_008_018,773,544,544,0,6,538,EGYENI,,
43787,01_008_019,874,557,557,0,3,554,EGYENI,,
43789,01_008_020,1052,595,594,-1,6,588,EGYENI,,
43791,01_008_021,937,576,576,0,1,575,EGYENI,,
43793,01_008_022,748,435,435,0,4,431,EGYENI,,
43795,01_008_023,661,415,415,0,3,412,EGYENI,,
43797,01_008_024,904,576,575,-1,5,570,EGYENI,,
43799,01_008_025,757,509,508,-1,1,507,EGYENI,,
43801,01_008_026,780,515,515,0,4,511,EGYENI,,
43803,01_008_027,864,527,527,0,2,525,EGYENI,,
43805,01_008_028,659,409,409,0,3,406,EGYENI,,
43807,01_008_029,959,558,558,0,4,554,EGYENI,,
43809,01_008_030,1021,527,527,0,6,521,EGYENI,,
43811,01_008_031,1191,361,361,0,4,357,EGYENI,,
43813,01_008_032,970,529,527,-2,3,524,EGYENI,,
43815,01_008_033,604,385,385,0,2,383,EGYENI,,
43817,01_008_034,698,460,460,0,3,457,EGYENI,,
43819,01_008_035,701,411,411,0,5,406,EGYENI,,
43821,01_008_036,720,547,545,-2,1,544,EGYENI,,
43823,01_008_037,500,248,248,0,1,247,EGYENI,,
43825,01_008_038,802,565,565,0,5,560,EGYENI,,
43827,01_008_039,748,491,491,0,2,489,EGYENI,,
43829,01_008_040,702,490,490,0,2,488,EGYENI,,
43831,01_008_041,904,602,602,0,1,601,EGYENI,,
43833,01_008_042,1245,682,680,-2,3,677,EGYENI,,
43835,01_008_043,1064,617,617,0,10,607,EGYENI,,
44243,01_008_044,816,369,369,0,7,362,EGYENI,,
44245,01_008_045,740,483,484,1,13,471,EGYENI,,
44247,01_008_046,955,494,494,0,3,491,EGYENI,,
44249,01_008_047,531,372,372,0,0,372,EGYENI,,
44251,01_008_048,1017,516,516,0,10,506,EGYENI,,
44253,01_008_049,1303,803,803,0,4,799,EGYENI,,
44255,01_008_050,1105,532,532,0,6,526,EGYENI,,
44257,01_008_051,777,354,354,0,4,350,EGYENI,,
44259,01_008_052,1076,647,647,0,2,645,EGYENI,,
44261,01_008_053,629,488,487,-1,0,487,EGYENI,,
44263,01_008_054,992,725,725,0,8,717,EGYENI,,
44265,01_008_055,773,475,475,0,5,470,EGYENI,,
44267,01_008_056,1013,727,727,0,3,724,EGYENI,,
44269,01_008_057,605,446,446,0,0,446,EGYENI,,
44271,01_008_058,644,531,531,0,4,527,EGYENI,,
44273,01_008_059,540,375,375,0,3,372,EGYENI,,
44275,01_008_060,3938,3386,3377,-9,25,3352,EGYENI,,
44277,01_009_001,579,425,426,1,15,411,EGYENI,,
44279,01_009_002,645,469,466,-3,7,459,EGYENI,,
44281,01_009_003,610,461,461,0,7,454,EGYENI,,
44283,01_009_004,714,523,523,0,9,514,EGYENI,,
44285,01_009_005,587,415,415,0,3,412,EGYENI,,
44287,01_009_006,824,600,598,-2,12,586,EGYENI,,
44289,01_009_007,599,425,425,0,1,424,EGYENI,,
44291,01_009_008,604,432,432,0,4,428,EGYENI,,
44293,01_009_009,834,481,476,-5,0,476,EGYENI,,
44295,01_009_010,647,494,493,-1,12,481,EGYENI,,
44297,01_009_011,742,569,569,0,11,558,EGYENI,,
44299,01_009_012,686,506,506,0,12,494,EGYENI,,
44301,01_009_013,786,596,594,-2,7,587,EGYENI,,
44303,01_009_014,895,680,680,0,9,671,EGYENI,,
44305,01_009_015,660,505,503,-2,11,492,EGYENI,,
44307,01_009_016,587,385,384,-1,8,376,EGYENI,,
44309,01_009_017,950,753,753,0,14,739,EGYENI,,
44311,01_009_018,773,562,561,-1,12,549,EGYENI,,
44313,01_009_019,905,594,594,0,0,594,EGYENI,,
44315,01_009_020,1044,635,635,0,4,631,EGYENI,,
44317,01_009_021,785,517,517,0,3,514,EGYENI,,
44319,01_009_022,796,574,573,-1,3,570,EGYENI,,
44321,01_009_023,806,471,470,-1,8,462,EGYENI,,
44323,01_009_024,594,397,396,-1,2,394,EGYENI,,
44325,01_009_025,897,659,659,0,2,657,EGYENI,,
44327,01_009_026,742,527,526,-1,6,520,EGYENI,,
44329,01_009_027,745,559,558,-1,3,555,EGYENI,,
44331,01_009_028,711,531,531,0,15,516,EGYENI,,
44333,01_009_029,924,635,635,0,13,622,EGYENI,,
44335,01_009_030,922,651,651,0,14,637,EGYENI,,
44337,01_009_031,742,493,493,0,8,485,EGYENI,,
44339,01_009_032,686,464,464,0,3,461,EGYENI,,
44341,01_009_033,841,593,590,-3,2,588,EGYENI,,
44343,01_009_034,678,466,466,0,5,461,EGYENI,,
44345,01_009_035,752,588,588,0,7,581,EGYENI,,
44347,01_009_036,1081,758,758,0,4,754,EGYENI,,
