JKV_AZONOSITO,SZAVAZOKOR,VALASZTOPOLGAR,MEGJELENTEK,URNABAN_LEVO,ELTERES,ERVENYTELEN,ERVENYES,TIPUS,ERVENYES_SZAVAZASI_IRATOK,IRATOKBAN_LEVO_SZAVAZOLAP
42505,01_001_001,1001,845,843,-2,5,838,EGYENI,,
42507,01_001_002,976,796,793,-3,7,786,EGYENI,,
42509,01_001_003,1030,677,675,-2,5,670,EGYENI,,
42511,01_001_004,946,722,720,-2,12,708,EGYENI,,
42513,01_001_005,917,740,739,-1,7,732,EGYENI,,
42515,01_001_006,1007,822,819,-3,6,813,EGYENI,,
42517,01_001_007,917,727,725,-2,7,718,EGYENI,,
42519,01_001_008,886,711,710,-1,4,706,EGYENI,,
42521,01_001_009,1030,822,821,-1,9,812,EGYENI,,
42523,01_001_010,934,761,761,0,3,758,EGYENI,,
42525,01_001_011,979,802,800,-2,7,793,EGYENI,,
49549,01_001_012,1026,815,814,-1,7,807,EGYENI,,
49551,01_001_013,1074,857,853,-4,8,845,EGYENI,,
49553,01_001_014,987,799,799,0,8,791,EGYENI,,
49555,01_001_015,964,764,764,0,3,761,EGYENI,,
49557,01_001_016,910,756,756,0,7,749,EGYENI,,
49559,01_001_017,1036,827,827,0,6,821,EGYENI,,
49561,01_001_018,1023,818,810,-8,2,808,EGYENI,,
49563,01_001_019,981,786,785,-1,5,780,EGYENI,,
49565,01_001_020,937,747,745,-2,8,737,EGYENI,,
49567,01_002_001,1072,845,844,-1,7,837,EGYENI,,
49569,01_002_002,932,725,725,0,2,723,EGYENI,,
49571,01_002_003,660,510,510,0,2,508,EGYENI,,
49573,01_002_004,1008,782,782,0,4,778,EGYENI,,
49575,01_002_005,1070,858,858,0,7,851,EGYENI,,
49577,01_002_006,899,744,743,-1,4,739,EGYENI,,
49579,01_002_007,811,688,686,-2,0,686,EGYENI,,
49581,01_002_008,908,748,748,0,2,746,EGYENI,,
49583,01_002_009,837,685,684,-1,5,679,EGYENI,,
49585,01_002_010,4025,3656,3645,-11,23,3622,EGYENI,,
49587,01_002_011,896,525,522,-3,4,518,EGYENI,,
49589,01_002_012,998,850,847,-3,6,841,EGYENI,,
49591,01_002_013,670,542,542,0,3,539,EGYENI,,
49593,01_002_014,862,686,684,-2,5,679,EGYENI,,
49595,01_002_015,774,655,651,-4,4,647,EGYENI,,
49597,01_002_016,886,736,735,-1,1,734,EGYENI,,
49599,01_002_017,835,701,701,0,5,696,EGYENI,,
49601,01_002_018,764,641,641,0,4,637,EGYENI,,
49603,01_002_019,834,694,694,0,4,690,EGYENI,,
49605,01_002_020,819,678,673,-5,2,671,EGYENI,,
49607,01_002_021,865,678,677,-1,3,674,EGYENI,,
49609,01_002_022,835,706,706,0,4,702,EGYENI,,
49611,01_002_023,882,749,748,-1,1,747,EGYENI,,
49613,01_002_024,963,775,775,0,3,772,EGYENI,,
49615,01_002_025,820,679,678,-1,2,676,EGYENI,,
49617,01_002_026,865,762,761,-1,3,758,EGYENI,,
49619,01_002_027,759,612,612,0,1,611,EGYENI,,
49621,01_002_028,706,588,588,0,4,584,EGYENI,,
49623,01_002_029,509,404,404,0,0,404,EGYENI,,
49625,01_002_030,606,486,486,0,2,484,EGYENI,,
49627,01_002_031,1151,921,921,0,20,901,EGYENI,,
49629,01_002_032,948,783,783,0,3,780,EGYENI,,
49631,01_002_033,834,715,715,0,2,713,EGYENI,,
49633,01_002_034,750,569,568,-1,2,566,EGYENI,,
49635,01_002_035,877,727,726,-1,3,723,EGYENI,,
49637,01_002_036,869,732,731,-1,3,728,EGYENI,,
49639,01_002_037,864,720,718,-2,9,709,EGYENI,,
49641,01_002_038,986,824,823,-1,4,819,EGYENI,,
49643,01_002_039,836,707,707,0,4,703,EGYENI,,
49645,01_002_040,844,686,685,-1,2,683,EGYENI,,
49647,01_002_041,794,644,643,-1,2,641,EGYENI,,
49649,01_002_042,760,618,618,0,2,616,EGYENI,,
49651,01_002_043,777,649,645,-4,5,640,EGYENI,,
49653,01_002_044,910,791,779,-12,2,777,EGYENI,,
49655,01_002_045,861,693,691,-2,3,688,EGYENI,,
49657,01_002_046,906,775,774,-1,4,770,EGYENI,,
49659,01_002_047,888,747,746,-1,4,742,EGYENI,,
49661,01_002_048,926,772,770,-2,1,769,EGYENI,,
49663,01_002_049,885,713,712,-1,2,710,EGYENI,,
49665,01_002_050,815,661,661,0,5,656,EGYENI,,
49667,01_002_051,772,650,647,-3,2,645,EGYENI,,
49669,01_002_052,680,543,543,0,3,540,EGYENI,,
49671,01_002_053,710,602,602,0,5,597,EGYENI,,
49673,01_002_054,1075,852,852,0,9,843,EGYENI,,
49675,01_002_055,908,728,726,-2,8,718,EGYENI,,
49677,01_002_056,798,637,635,-2,3,632,EGYENI,,
49679,01_002_057,715,607,606,-1,4,602,EGYENI,,
49681,01_002_058,929,718,716,-2,7,709,EGYENI,,
49683,01_002_059,788,651,650,-1,3,647,EGYENI,,
50065,01_002_060,789,626,625,-1,9,616,EGYENI,,
50067,01_002_061,894,747,747,0,4,743,EGYENI,,
50069,01_002_062,663,519,517,-2,6,511,EGYENI,,
50071,01_002_063,807,655,653,-2,3,650,EGYENI,,
50073,01_002_064,878,697,696,-1,7,689,EGYENI,,
50075,01_002_065,905,694,693,-1,6,687,EGYENI,,
50077,01_002_066,1002,785,782,-3,9,773,EGYENI,,
50079,01_002_067,860,627,624,-3,6,618,EGYENI,,
50081,01_002_068,878,686,682,-4,11,671,EGYENI,,
50083,01_002_069,945,709,709,0,8,701,EGYENI,,
50085,01_002_070,844,672,671,-1,8,663,EGYENI,,
50087,01_002_071,853,704,703,-1,0,703,EGYENI,,
50089,01_002_072,962,760,760,0,11,749,EGYENI,,
50091,01_002_073,969,771,771,0,11,760,EGYENI,,
50093,01_002_074,801,598,598,0,5,593,EGYENI,,
50095,01_003_001,919,741,740,-1,9,731,EGYENI,,
50097,01_003_002,871,683,683,0,2,681,EGYENI,,
50099,01_003_003,956,749,747,-2,7,740,EGYENI,,
50101,01_003_004,958,759,758,-1,4,754,EGYENI,,
50103,01_003_005,853,623,622,-1,7,615,EGYENI,,
50105,01_003_006,975,770,769,-1,2,767,EGYENI,,
50107,01_003_007,916,721,721,0,5,716,EGYENI,,
50109,01_003_008,788,582,582,0,2,580,EGYENI,,
50111,01_003_009,830,652,652,0,5,647,EGYENI,,
50113,01_003_010,843,686,677,-9,3,674,EGYENI,,
50115,01_003_011,989,779,775,-4,3,772,EGYENI,,
50117,01_003_012,938,774,774,0,2,772,EGYENI,,
50119,01_003_013,905,752,750,-2,7,743,EGYENI,,
50121,01_003_014,857,704,703,-1,6,697,EGYENI,,
50123,01_003_015,747,619,619,0,2,617,EGYENI,,
50125,01_003_016,796,672,672,0,3,669,EGYENI,,
50127,01_003_017,826,698,698,0,2,696,EGYENI,,
50129,01_003_018,916,745,745,0,5,740,EGYENI,,
50131,01_003_019,1033,857,854,-3,2,852,EGYENI,,
50133,01_003_020,1013,786,785,-1,2,783,EGYENI,,
50135,01_003_021,784,609,609,0,2,607,EGYENI,,
50137,01_003_022,1022,808,807,-1,4,803,EGYENI,,
50139,01_003_023,829,715,714,-1,1,713,EGYENI,,
50141,01_003_024,793,663,660,-3,5,655,EGYENI,,
50143,01_003_025,776,566,564,-2,8,556,EGYENI,,
50145,01_003_026,778,613,613,0,4,609,EGYENI,,
50147,01_003_027,843,701,699,-2,3,696,EGYENI,,
50149,01_003_028,867,690,690,0,7,683,EGYENI,,
50151,01_003_029,865,677,677,0,8,669,EGYENI,,
50153,01_003_030,909,741,740,-1,2,738,EGYENI,,
50155,01_003_031,870,646,646,0,5,641,EGYENI,,
50157,01_003_032,984,778,777,-1,8,769,EGYENI,,
50159,01_003_033,871,686,680,-6,6,674,EGYENI,,
50161,01_003_034,813,620,620,0,2,618,EGYENI,,
50163,01_003_035,821,605,605,0,10,595,EGYENI,,
50165,01_003_036,815,647,647,0,4,643,EGYENI,,
50167,01_003_037,911,752,752,0,11,741,EGYENI,,
50169,01_003_038,778,605,605,0,6,599,EGYENI,,
50171,01_003_039,811,661,661,0,6,655,EGYENI,,
50173,01_003_040,735,556,556,0,9,547,EGYENI,,
50175,01_003_041,829,617,618,1,19,599,EGYENI,,
50177,01_003_042,717,343,340,-3,3,337,EGYENI,,
50179,01_003_043,1062,799,789,-10,5,784,EGYENI,,
50181,01_003_044,1019,809,805,-4,10,795,EGYENI,,
50183,01_003_045,942,702,701,-1,2,699,EGYENI,,
50185,01_003_046,1053,809,806,-3,7,799,EGYENI,,
50187,01_003_047,2952,2647,2651,4,78,2573,EGYENI,,
50189,01_003_048,818,597,591,-6,6,585,EGYENI,,
50191,01_003_049,868,687,687,0,9,678,EGYENI,,
50193,01_003_050,846,679,678,-1,11,667,EGYENI,,
50195,01_003_051,789,607,607,0,5,602,EGYENI,,
50197,01_003_052,872,699,699,0,6,693,EGYENI,,
50199,01_003_053,710,591,591,0,7,584,EGYENI,,
50581,01_003_054,908,731,730,-1,6,724,EGYENI,,
50583,01_003_055,865,667,666,-1,4,662,EGYENI,,
50585,01_003_056,839,645,644,-1,4,640,EGYENI,,
50587,01_003_057,943,704,704,0,6,698,EGYENI,,
50589,01_003_058,817,604,603,-1,8,595,EGYENI,,
50591,01_003_059,764,671,669,-2,4,665,EGYENI,,
50593,01_003_060,848,669,669,0,6,663,EGYENI,,
50595,01_003_061,866,690,690,0,6,684,EGYENI,,
50597,01_003_062,884,618,616,-2,2,614,EGYENI,,
50599,01_003_063,874,637,634,-3,10,624,EGYENI,,
50601,01_003_064,733,569,567,-2,0,567,EGYENI,,
50603,01_003_065,982,814,805,-9,4,801,EGYENI,,
50605,01_003_066,831,648,645,-3,5,640,EGYENI,,
50607,01_003_067,821,648,647,-1,4,643,EGYENI,,
50609,01_003_068,791,650,650,0,5,645,EGYENI,,
50611,01_003_069,799,649,649,0,3,646,EGYENI,,
50613,01_003_070,871,698,697,-1,4,693,EGYENI,,
50615,01_003_071,917,744,744,0,3,741,EGYENI,,
50617,01_003_072,921,756,756,0,4,752,EGYENI,,
50619,01_003_073,862,727,727,0,6,721,EGYENI,,
50621,01_003_074,891,774,774,0,6,768,EGYENI,,
50623,01_003_075,746,642,640,-2,4,636,EGYENI,,
50625,01_003_076,970,810,809,-1,5,804,EGYENI,,
50627,01_003_077,874,725,724,-1,4,720,EGYENI,,
50629,01_003_078,828,690,689,-1,4,685,EGYENI,,
50631,01_003_079,913,752,752,0,6,746,EGYENI,,
50633,01_003_080,840,694,694,0,3,691,EGYENI,,
50635,01_003_081,899,760,758,-2,5,753,EGYENI,,
50637,01_003_082,998,834,834,0,8,826,EGYENI,,
50639,01_003_083,979,836,836,0,3,833,EGYENI,,
50641,01_003_084,883,725,724,-1,1,723,EGYENI,,
50643,01_003_085,824,645,643,-2,5,638,EGYENI,,
50645,01_003_086,834,590,590,0,6,584,EGYENI,,
50647,01_003_087,921,676,676,0,7,669,EGYENI,,
50649,01_003_088,889,687,685,-2,2,683,EGYENI,,
50651,01_003_089,993,739,738,-1,7,731,EGYENI,,
50653,01_003_090,847,596,596,0,4,592,EGYENI,,
50655,01_003_091,809,618,618,0,5,613,EGYENI,,
50657,01_003_092,1028,743,743,0,10,733,EGYENI,,
50659,01_003_093,911,708,708,0,4,704,EGYENI,,
50661,01_003_094,818,611,605,-6,7,598,EGYENI,,
50663,01_003_095,828,590,590,0,4,586,EGYENI,,
50665,01_003_096,987,719,718,-1,7,711,EGYENI,,
50667,01_003_097,1019,734,734,0,5,729,EGYENI,,
50669,01_003_098,738,506,506,0,3,503,EGYENI,,
50671,01_003_099,967,710,709,-1,1,708,EGYENI,,
50673,01_003_100,884,587,587,0,4,583,EGYENI,,
50675,01_003_101,917,582,582,0,8,574,EGYENI,,
50677,01_003_102,899,641,639,-2,6,633,EGYENI,,
50679,01_003_103,857,656,656,0,3,653,EGYENI,,
50681,01_003_104,804,574,572,-2,7,565,EGYENI,,
50683,01_003_105,776,577,576,-1,5,571,EGYENI,,
50685,01_003_106,850,668,666,-2,7,659,EGYENI,,
50687,01_003_107,805,601,601,0,3,598,EGYENI,,
50689,01_003_108,878,653,653,0,2,651,EGYENI,,
50691,01_003_109,837,624,624,0,4,620,EGYENI,,
50693,01_003_110,821,617,611,-6,11,600,EGYENI,,
50695,01_003_111,782,553,552,-1,4,548,EGYENI,,
50697,01_003_112,850,603,604,1,11,593,EGYENI,,
50699,01_004_001,1157,987,987,0,3,984,EGYENI,,
50701,01_004_002,1135,883,883,0,9,874,EGYENI,,
50703,01_004_003,1161,946,946,0,4,942,EGYENI,,
50705,01_004_004,1261,1057,1057,0,4,1053,EGYENI,,
50707,01_004_005,1235,923,922,-1,7,915,EGYENI,,
50709,01_004_006,1285,1053,1051,-2,4,1047,EGYENI,,
42663,01_004_007,1264,929,929,0,5,924,EGYENI,,
42665,01_004_008,1032,790,790,0,5,785,EGYENI,,
42667,01_004_009,1043,794,792,-2,7,785,EGYENI,,
42669,01_004_010,1181,927,927,0,3,924,EGYENI,,
42671,01_004_011,989,782,782,0,0,782,EGYENI,,
42673,01_004_012,1068,759,759,0,5,754,EGYENI,,
42675,01_004_013,1046,739,738,-1,5,733,EGYENI,,
42677,01_004_014,1036,820,819,-1,3,816,EGYENI,,
42679,01_004_015,945,718,717,-1,2,715,EGYENI,,
42681,01_004_016,1036,812,812,0,0,812,EGYENI,,
42683,01_004_017,1073,908,907,-1,2,905,EGYENI,,
42685,01_004_018,1072,872,872,0,6,866,EGYENI,,
42687,01_004_019,1006,685,685,0,5,680,EGYENI,,
42689,01_004_020,1009,772,772,0,7,765,EGYENI,,
42691,01_004_021,1090,887,887,0,5,882,EGYENI,,
42693,01_004_022,1088,877,877,0,4,873,EGYENI,,
42695,01_004_023,1063,865,866,1,19,847,EGYENI,,
42697,01_004_024,1093,821,821,0,6,815,EGYENI,,
42699,01_004_025,1053,788,787,-1,5,782,EGYENI,,
42701,01_004_026,1112,924,923,-1,2,921,EGYENI,,
42703,01_004_027,1124,910,910,0,4,906,EGYENI,,
42705,01_004_028,1098,895,894,-1,3,891,EGYENI,,
42707,01_004_029,1114,857,857,0,5,852,EGYENI,,
42709,01_004_030,1115,786,785,-1,5,780,EGYENI,,
42711,01_004_031,999,628,627,-1,8,619,EGYENI,,
42713,01_004_032,961,726,725,-1,4,721,EGYENI,,
42715,01_004_033,990,681,681,0,12,669,EGYENI,,
42717,01_004_034,1008,595,595,0,7,588,EGYENI,,
42719,01_004_035,1129,673,673,0,8,665,EGYENI,,
42721,01_004_036,1025,670,670,0,3,667,EGYENI,,
42723,01_004_037,1010,682,681,-1,5,676,EGYENI,,
42725,01_004_038,1076,756,755,-1,1,754,EGYENI,,
42727,01_004_039,984,786,785,-1,3,782,EGYENI,,
42729,01_004_040,942,667,667,0,7,660,EGYENI,,
42731,01_004_041,1060,829,829,0,6,823,EGYENI,,
42733,01_004_042,895,674,674,0,2,672,EGYENI,,
42735,01_004_043,1123,853,853,0,6,847,EGYENI,,
42737,01_004_044,1120,807,807,0,7,800,EGYENI,,
42739,01_004_045,1085,835,835,0,6,829,EGYENI,,
42741,01_004_046,1220,970,968,-2,9,959,EGYENI,,
42743,01_004_047,1000,772,773,1,11,762,EGYENI,,
42745,01_004_048,1053,769,769,0,3,766,EGYENI,,
42747,01_004_049,1249,897,900,3,27,873,EGYENI,,
42749,01_004_050,1274,938,936,-2,5,931,EGYENI,,
42751,01_004_051,1177,701,702,1,20,682,EGYENI,,
42753,01_004_052,963,714,717,3,38,679,EGYENI,,
42755,01_004_053,890,642,642,0,7,635,EGYENI,,
42757,01_004_054,1108,821,821,0,5,816,EGYENI,,
42759,01_004_055,1119,822,822,0,3,819,EGYENI,,
42761,01_004_056,1037,788,778,-10,4,774,EGYENI,,
42763,01_004_057,975,735,735,0,6,729,EGYENI,,
42765,01_004_058,1272,921,921,0,2,919,EGYENI,,
42767,01_004_059,1017,711,710,-1,5,705,EGYENI,,
42769,01_004_060,1146,803,803,0,3,800,EGYENI,,
42771,01_004_061,1176,839,838,-1,3,835,EGYENI,,
42773,01_004_062,986,683,680,-3,6,674,EGYENI,,
42775,01_004_063,1325,787,778,-9,7,771,EGYENI,,
42777,01_004_064,3424,2962,2958,-4,30,2928,EGYENI,,
42779,01_004_065,1020,732,730,-2,6,724,EGYENI,,
42781,01_004_066,1146,843,841,-2,13,828,EGYENI,,
42783,01_004_067,1106,824,824,0,11,813,EGYENI,,
43175,01_004_068,1136,799,800,1,17,783,EGYENI,,
43177,01_004_069,1195,855,855,0,8,847,EGYENI,,
43179,01_004_070,1115,796,796,0,4,792,EGYENI,,
43181,01_005_001,869,642,640,-2,9,631,EGYENI,,
43183,01_005_002,770,554,553,-1,6,547,EGYENI,,
43185,01_005_003,717,542,541,-1,9,532,EGYENI,,
43187,01_005_004,885,702,702,0,9,693,EGYENI,,
43189,01_005_005,922,676,673,-3,8,665,EGYENI,,
43191,01_005_006,782,585,584,-1,6,578,EGYENI,,
43193,01_005_007,847,618,617,-1,5,612,EGYENI,,
