TIPUS,VALASZTAS,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2019EP,01_002_041,MSZP-PARBESZED,29
Listas,2019EP,01_002_042,MSZP-PARBESZED,37
Listas,2019EP,01_002_043,MSZP-PARBESZED,49
Listas,2019EP,01_002_044,MSZP-PARBESZED,45
Listas,2019EP,01_002_045,MSZP-PARBESZED,50
Listas,2019EP,01_002_046,MSZP-PARBESZED,55
Listas,2019EP,01_002_047,MSZP-PARBESZED,51
Listas,2019EP,01_002_048,MSZP-PARBESZED,44
Listas,2019EP,01_002_049,MSZP-PARBESZED,44
Listas,2019EP,01_002_050,MSZP-PARBESZED,47
Listas,2019EP,01_002_051,MSZP-PARBESZED,42
Listas,2019EP,01_002_052,MSZP-PARBESZED,36
Listas,2019EP,01_002_053,MSZP-PARBESZED,38
Listas,2019EP,01_002_054,MSZP-PARBESZED,68
Listas,2019EP,01_002_055,MSZP-PARBESZED,51
Listas,2019EP,01_002_056,MSZP-PARBESZED,40
Listas,2019EP,01_002_057,MSZP-PARBESZED,37
Listas,2019EP,01_002_058,MSZP-PARBESZED,41
Listas,2019EP,01_002_059,MSZP-PARBESZED,45
Listas,2019EP,01_002_060,MSZP-PARBESZED,45
Listas,2019EP,01_002_061,MSZP-PARBESZED,41
Listas,2019EP,01_002_062,MSZP-PARBESZED,42
Listas,2019EP,01_002_063,MSZP-PARBESZED,46
Listas,2019EP,01_002_064,MSZP-PARBESZED,40
Listas,2019EP,01_002_065,MSZP-PARBESZED,25
Listas,2019EP,01_002_066,MSZP-PARBESZED,37
Listas,2019EP,01_002_067,MSZP-PARBESZED,28
Listas,2019EP,01_002_068,MSZP-PARBESZED,54
Listas,2019EP,01_002_069,MSZP-PARBESZED,38
Listas,2019EP,01_002_070,MSZP-PARBESZED,30
Listas,2019EP,01_002_071,MSZP-PARBESZED,57
Listas,2019EP,01_002_072,MSZP-PARBESZED,43
Listas,2019EP,01_002_073,MSZP-PARBESZED,43
Listas,2019EP,01_002_074,MSZP-PARBESZED,31
Listas,2019EP,01_003_001,MSZP-PARBESZED,49
Listas,2019EP,01_003_002,MSZP-PARBESZED,48
Listas,2019EP,01_003_003,MSZP-PARBESZED,61
Listas,2019EP,01_003_004,MSZP-PARBESZED,55
Listas,2019EP,01_003_005,MSZP-PARBESZED,33
Listas,2019EP,01_003_006,MSZP-PARBESZED,52
Listas,2019EP,01_003_007,MSZP-PARBESZED,56
Listas,2019EP,01_003_008,MSZP-PARBESZED,45
Listas,2019EP,01_003_009,MSZP-PARBESZED,61
Listas,2019EP,01_003_010,MSZP-PARBESZED,49
Listas,2019EP,01_003_011,MSZP-PARBESZED,57
Listas,2019EP,01_003_012,MSZP-PARBESZED,39
Listas,2019EP,01_003_013,MSZP-PARBESZED,54
Listas,2019EP,01_003_014,MSZP-PARBESZED,46
Listas,2019EP,01_003_015,MSZP-PARBESZED,37
Listas,2019EP,01_003_016,MSZP-PARBESZED,38
Listas,2019EP,01_003_017,MSZP-PARBESZED,37
Listas,2019EP,01_003_018,MSZP-PARBESZED,51
Listas,2019EP,01_003_019,MSZP-PARBESZED,43
Listas,2019EP,01_003_020,MSZP-PARBESZED,51
Listas,2019EP,01_003_021,MSZP-PARBESZED,39
Listas,2019EP,01_003_022,MSZP-PARBESZED,46
Listas,2019EP,01_003_023,MSZP-PARBESZED,36
Listas,2019EP,01_003_024,MSZP-PARBESZED,35
Listas,2019EP,01_003_025,MSZP-PARBESZED,44
Listas,2019EP,01_003_026,MSZP-PARBESZED,40
Listas,2019EP,01_003_027,MSZP-PARBESZED,50
Listas,2019EP,01_003_028,MSZP-PARBESZED,49
Listas,2019EP,01_003_029,MSZP-PARBESZED,27
Listas,2019EP,01_003_030,MSZP-PARBESZED,42
Listas,2019EP,01_003_031,MSZP-PARBESZED,48
Listas,2019EP,01_003_032,MSZP-PARBESZED,58
Listas,2019EP,01_003_033,MSZP-PARBESZED,62
Listas,2019EP,01_003_034,MSZP-PARBESZED,69
Listas,2019EP,01_003_035,MSZP-PARBESZED,63
Listas,2019EP,01_003_036,MSZP-PARBESZED,56
Listas,2019EP,01_003_037,MSZP-PARBESZED,53
Listas,2019EP,01_003_038,MSZP-PARBESZED,43
Listas,2019EP,01_003_039,MSZP-PARBESZED,58
Listas,2019EP,01_003_040,MSZP-PARBESZED,34
Listas,2019EP,01_003_041,MSZP-PARBESZED,40
Listas,2019EP,01_003_042,MSZP-PARBESZED,129
Listas,2019EP,01_003_043,MSZP-PARBESZED,52
Listas,2019EP,01_003_044,MSZP-PARBESZED,69
Listas,2019EP,01_003_045,MSZP-PARBESZED,52
Listas,2019EP,01_003_046,MSZP-PARBESZED,61
Listas,2019EP,01_003_047,MSZP-PARBESZED,33
Listas,2019EP,01_003_048,MSZP-PARBESZED,56
Listas,2019EP,01_003_049,MSZP-PARBESZED,56
Listas,2019EP,01_003_050,MSZP-PARBESZED,63
Listas,2019EP,01_003_051,MSZP-PARBESZED,34
Listas,2019EP,01_003_052,MSZP-PARBESZED,33
Listas,2019EP,01_003_053,MSZP-PARBESZED,37
Listas,2019EP,01_003_054,MSZP-PARBESZED,48
Listas,2019EP,01_003_055,MSZP-PARBESZED,56
Listas,2019EP,01_003_056,MSZP-PARBESZED,48
Listas,2019EP,01_003_057,MSZP-PARBESZED,49
Listas,2019EP,01_003_058,MSZP-PARBESZED,28
Listas,2019EP,01_003_059,MSZP-PARBESZED,47
Listas,2019EP,01_003_060,MSZP-PARBESZED,45
Listas,2019EP,01_003_061,MSZP-PARBESZED,47
Listas,2019EP,01_003_062,MSZP-PARBESZED,53
Listas,2019EP,01_003_063,MSZP-PARBESZED,33
Listas,2019EP,01_003_064,MSZP-PARBESZED,43
Listas,2019EP,01_003_065,MSZP-PARBESZED,63
Listas,2019EP,01_003_066,MSZP-PARBESZED,44
Listas,2019EP,01_003_067,MSZP-PARBESZED,47
Listas,2019EP,01_003_068,MSZP-PARBESZED,52
Listas,2019EP,01_003_069,MSZP-PARBESZED,57
Listas,2019EP,01_003_070,MSZP-PARBESZED,60
Listas,2019EP,01_003_071,MSZP-PARBESZED,61
Listas,2019EP,01_003_072,MSZP-PARBESZED,44
Listas,2019EP,01_003_073,MSZP-PARBESZED,62
Listas,2019EP,01_003_074,MSZP-PARBESZED,55
Listas,2019EP,01_003_075,MSZP-PARBESZED,51
Listas,2019EP,01_003_076,MSZP-PARBESZED,65
Listas,2019EP,01_003_077,MSZP-PARBESZED,50
Listas,2019EP,01_003_078,MSZP-PARBESZED,50
Listas,2019EP,01_003_079,MSZP-PARBESZED,45
Listas,2019EP,01_003_080,MSZP-PARBESZED,50
Listas,2019EP,01_003_081,MSZP-PARBESZED,49
Listas,2019EP,01_003_082,MSZP-PARBESZED,60
Listas,2019EP,01_003_083,MSZP-PARBESZED,57
Listas,2019EP,01_003_084,MSZP-PARBESZED,55
Listas,2019EP,01_003_085,MSZP-PARBESZED,53
Listas,2019EP,01_003_086,MSZP-PARBESZED,33
Listas,2019EP,01_003_087,MSZP-PARBESZED,39
Listas,2019EP,01_003_088,MSZP-PARBESZED,33
Listas,2019EP,01_003_089,MSZP-PARBESZED,52
Listas,2019EP,01_003_090,MSZP-PARBESZED,30
Listas,2019EP,01_003_091,MSZP-PARBESZED,37
Listas,2019EP,01_003_092,MSZP-PARBESZED,50
Listas,2019EP,01_003_093,MSZP-PARBESZED,28
Listas,2019EP,01_003_094,MSZP-PARBESZED,42
Listas,2019EP,01_003_095,MSZP-PARBESZED,32
Listas,2019EP,01_003_096,MSZP-PARBESZED,44
Listas,2019EP,01_003_097,MSZP-PARBESZED,59
Listas,2019EP,01_003_098,MSZP-PARBESZED,19
Listas,2019EP,01_003_099,MSZP-PARBESZED,33
Listas,2019EP,01_003_100,MSZP-PARBESZED,33
Listas,2019EP,01_003_101,MSZP-PARBESZED,34
Listas,2019EP,01_003_102,MSZP-PARBESZED,31
Listas,2019EP,01_003_103,MSZP-PARBESZED,50
Listas,2019EP,01_003_104,MSZP-PARBESZED,18
Listas,2019EP,01_003_105,MSZP-PARBESZED,24
Listas,2019EP,01_003_106,MSZP-PARBESZED,47
Listas,2019EP,01_003_107,MSZP-PARBESZED,35
Listas,2019EP,01_003_108,MSZP-PARBESZED,49
Listas,2019EP,01_003_109,MSZP-PARBESZED,42
Listas,2019EP,01_003_110,MSZP-PARBESZED,33
Listas,2019EP,01_003_111,MSZP-PARBESZED,33
Listas,2019EP,01_003_112,MSZP-PARBESZED,27
Listas,2019EP,01_004_001,MSZP-PARBESZED,65
Listas,2019EP,01_004_002,MSZP-PARBESZED,62
Listas,2019EP,01_004_003,MSZP-PARBESZED,41
Listas,2019EP,01_004_004,MSZP-PARBESZED,56
Listas,2019EP,01_004_005,MSZP-PARBESZED,52
Listas,2019EP,01_004_006,MSZP-PARBESZED,81
Listas,2019EP,01_004_007,MSZP-PARBESZED,45
Listas,2019EP,01_004_008,MSZP-PARBESZED,30
Listas,2019EP,01_004_009,MSZP-PARBESZED,47
Listas,2019EP,01_004_010,MSZP-PARBESZED,62
Listas,2019EP,01_004_011,MSZP-PARBESZED,58
Listas,2019EP,01_004_012,MSZP-PARBESZED,32
Listas,2019EP,01_004_013,MSZP-PARBESZED,30
Listas,2019EP,01_004_014,MSZP-PARBESZED,58
Listas,2019EP,01_004_015,MSZP-PARBESZED,33
Listas,2019EP,01_004_016,MSZP-PARBESZED,46
Listas,2019EP,01_004_017,MSZP-PARBESZED,64
Listas,2019EP,01_004_018,MSZP-PARBESZED,34
Listas,2019EP,01_004_019,MSZP-PARBESZED,37
Listas,2019EP,01_004_020,MSZP-PARBESZED,34
Listas,2019EP,01_004_021,MSZP-PARBESZED,47
Listas,2019EP,01_004_022,MSZP-PARBESZED,41
Listas,2019EP,01_004_023,MSZP-PARBESZED,48
Listas,2019EP,01_004_024,MSZP-PARBESZED,53
Listas,2019EP,01_004_025,MSZP-PARBESZED,33
Listas,2019EP,01_004_026,MSZP-PARBESZED,53
Listas,2019EP,01_004_027,MSZP-PARBESZED,64
Listas,2019EP,01_004_028,MSZP-PARBESZED,56
Listas,2019EP,01_004_029,MSZP-PARBESZED,45
Listas,2019EP,01_004_030,MSZP-PARBESZED,28
Listas,2019EP,01_004_031,MSZP-PARBESZED,32
Listas,2019EP,01_004_032,MSZP-PARBESZED,42
Listas,2019EP,01_004_033,MSZP-PARBESZED,29
Listas,2019EP,01_004_034,MSZP-PARBESZED,19
Listas,2019EP,01_004_035,MSZP-PARBESZED,33
Listas,2019EP,01_004_036,MSZP-PARBESZED,27
Listas,2019EP,01_004_037,MSZP-PARBESZED,25
Listas,2019EP,01_004_038,MSZP-PARBESZED,44
Listas,2019EP,01_004_039,MSZP-PARBESZED,37
Listas,2019EP,01_004_040,MSZP-PARBESZED,33
Listas,2019EP,01_004_041,MSZP-PARBESZED,37
Listas,2019EP,01_004_042,MSZP-PARBESZED,29
Listas,2019EP,01_004_043,MSZP-PARBESZED,47
Listas,2019EP,01_004_044,MSZP-PARBESZED,40
Listas,2019EP,01_004_045,MSZP-PARBESZED,48
Listas,2019EP,01_004_046,MSZP-PARBESZED,51
Listas,2019EP,01_004_047,MSZP-PARBESZED,40
Listas,2019EP,01_004_048,MSZP-PARBESZED,45
Listas,2019EP,01_004_049,MSZP-PARBESZED,56
Listas,2019EP,01_004_050,MSZP-PARBESZED,50
Listas,2019EP,01_004_051,MSZP-PARBESZED,40
Listas,2019EP,01_004_052,MSZP-PARBESZED,38
Listas,2019EP,01_004_053,MSZP-PARBESZED,22
Listas,2019EP,01_004_054,MSZP-PARBESZED,55
Listas,2019EP,01_004_055,MSZP-PARBESZED,47
Listas,2019EP,01_004_056,MSZP-PARBESZED,41
Listas,2019EP,01_004_057,MSZP-PARBESZED,44
Listas,2019EP,01_004_058,MSZP-PARBESZED,53
Listas,2019EP,01_004_059,MSZP-PARBESZED,31
Listas,2019EP,01_004_060,MSZP-PARBESZED,41
Listas,2019EP,01_004_061,MSZP-PARBESZED,44
Listas,2019EP,01_004_062,MSZP-PARBESZED,47
Listas,2019EP,01_004_063,MSZP-PARBESZED,106
Listas,2019EP,01_004_064,MSZP-PARBESZED,43
Listas,2019EP,01_004_065,MSZP-PARBESZED,28
Listas,2019EP,01_004_066,MSZP-PARBESZED,39
Listas,2019EP,01_004_067,MSZP-PARBESZED,50
Listas,2019EP,01_004_068,MSZP-PARBESZED,38
Listas,2019EP,01_004_069,MSZP-PARBESZED,35
Listas,2019EP,01_004_070,MSZP-PARBESZED,33
Listas,2019EP,01_005_001,MSZP-PARBESZED,46
Listas,2019EP,01_005_002,MSZP-PARBESZED,36
Listas,2019EP,01_005_003,MSZP-PARBESZED,23
Listas,2019EP,01_005_004,MSZP-PARBESZED,43
Listas,2019EP,01_005_005,MSZP-PARBESZED,41
Listas,2019EP,01_005_006,MSZP-PARBESZED,30
Listas,2019EP,01_005_007,MSZP-PARBESZED,41
Listas,2019EP,01_005_008,MSZP-PARBESZED,52
Listas,2019EP,01_005_009,MSZP-PARBESZED,41
Listas,2019EP,01_005_010,MSZP-PARBESZED,17
Listas,2019EP,01_005_011,MSZP-PARBESZED,95
Listas,2019EP,01_005_012,MSZP-PARBESZED,43
Listas,2019EP,01_005_013,MSZP-PARBESZED,41
Listas,2019EP,01_005_014,MSZP-PARBESZED,40
Listas,2019EP,01_005_015,MSZP-PARBESZED,47
Listas,2019EP,01_005_016,MSZP-PARBESZED,36
Listas,2019EP,01_005_017,MSZP-PARBESZED,42
Listas,2019EP,01_005_018,MSZP-PARBESZED,42
Listas,2019EP,01_005_019,MSZP-PARBESZED,62
Listas,2019EP,01_005_020,MSZP-PARBESZED,65
Listas,2019EP,01_005_021,MSZP-PARBESZED,45
Listas,2019EP,01_006_001,MSZP-PARBESZED,29
Listas,2019EP,01_006_002,MSZP-PARBESZED,19
Listas,2019EP,01_006_003,MSZP-PARBESZED,24
Listas,2019EP,01_006_004,MSZP-PARBESZED,34
Listas,2019EP,01_006_005,MSZP-PARBESZED,31
Listas,2019EP,01_006_006,MSZP-PARBESZED,34
Listas,2019EP,01_006_007,MSZP-PARBESZED,25
Listas,2019EP,01_006_008,MSZP-PARBESZED,25
Listas,2019EP,01_006_009,MSZP-PARBESZED,16
Listas,2019EP,01_006_010,MSZP-PARBESZED,38
Listas,2019EP,01_006_011,MSZP-PARBESZED,26
Listas,2019EP,01_006_012,MSZP-PARBESZED,23
Listas,2019EP,01_006_013,MSZP-PARBESZED,23
Listas,2019EP,01_006_014,MSZP-PARBESZED,29
Listas,2019EP,01_006_015,MSZP-PARBESZED,52
Listas,2019EP,01_006_016,MSZP-PARBESZED,29
Listas,2019EP,01_006_017,MSZP-PARBESZED,39
Listas,2019EP,01_006_018,MSZP-PARBESZED,31
Listas,2019EP,01_006_019,MSZP-PARBESZED,43
Listas,2019EP,01_006_020,MSZP-PARBESZED,31
Listas,2019EP,01_006_021,MSZP-PARBESZED,39
Listas,2019EP,01_006_022,MSZP-PARBESZED,26
Listas,2019EP,01_006_023,MSZP-PARBESZED,39
Listas,2019EP,01_006_024,MSZP-PARBESZED,41
Listas,2019EP,01_006_025,MSZP-PARBESZED,29
Listas,2019EP,01_006_026,MSZP-PARBESZED,85
Listas,2019EP,01_006_027,MSZP-PARBESZED,41
Listas,2019EP,01_006_028,MSZP-PARBESZED,42
Listas,2019EP,01_006_029,MSZP-PARBESZED,46
Listas,2019EP,01_006_030,MSZP-PARBESZED,47
Listas,2019EP,01_007_001,MSZP-PARBESZED,41
Listas,2019EP,01_007_002,MSZP-PARBESZED,50
Listas,2019EP,01_007_003,MSZP-PARBESZED,45
Listas,2019EP,01_007_004,MSZP-PARBESZED,75
Listas,2019EP,01_007_005,MSZP-PARBESZED,36
Listas,2019EP,01_007_006,MSZP-PARBESZED,55
Listas,2019EP,01_007_007,MSZP-PARBESZED,47
Listas,2019EP,01_007_008,MSZP-PARBESZED,25
Listas,2019EP,01_007_009,MSZP-PARBESZED,27
Listas,2019EP,01_007_010,MSZP-PARBESZED,43
Listas,2019EP,01_007_011,MSZP-PARBESZED,42
Listas,2019EP,01_007_012,MSZP-PARBESZED,32
Listas,2019EP,01_007_013,MSZP-PARBESZED,59
Listas,2019EP,01_007_014,MSZP-PARBESZED,48
Listas,2019EP,01_007_015,MSZP-PARBESZED,60
Listas,2019EP,01_007_016,MSZP-PARBESZED,31
Listas,2019EP,01_007_017,MSZP-PARBESZED,48
Listas,2019EP,01_007_018,MSZP-PARBESZED,34
Listas,2019EP,01_007_019,MSZP-PARBESZED,40
Listas,2019EP,01_007_020,MSZP-PARBESZED,33
Listas,2019EP,01_007_021,MSZP-PARBESZED,55
Listas,2019EP,01_007_022,MSZP-PARBESZED,34
Listas,2019EP,01_007_023,MSZP-PARBESZED,32
Listas,2019EP,01_007_024,MSZP-PARBESZED,32
Listas,2019EP,01_007_025,MSZP-PARBESZED,28
Listas,2019EP,01_007_026,MSZP-PARBESZED,33
Listas,2019EP,01_007_027,MSZP-PARBESZED,39
Listas,2019EP,01_007_028,MSZP-PARBESZED,41
Listas,2019EP,01_007_029,MSZP-PARBESZED,38
Listas,2019EP,01_007_030,MSZP-PARBESZED,42
Listas,2019EP,01_007_031,MSZP-PARBESZED,30
Listas,2019EP,01_007_032,MSZP-PARBESZED,37
Listas,2019EP,01_007_033,MSZP-PARBESZED,45
Listas,2019EP,01_007_034,MSZP-PARBESZED,34
Listas,2019EP,01_007_035,MSZP-PARBESZED,43
Listas,2019EP,01_007_036,MSZP-PARBESZED,28
Listas,2019EP,01_007_037,MSZP-PARBESZED,48
Listas,2019EP,01_007_038,MSZP-PARBESZED,23
Listas,2019EP,01_008_001,MSZP-PARBESZED,23
Listas,2019EP,01_008_002,MSZP-PARBESZED,39
Listas,2019EP,01_008_003,MSZP-PARBESZED,29
Listas,2019EP,01_008_004,MSZP-PARBESZED,28
Listas,2019EP,01_008_005,MSZP-PARBESZED,36
Listas,2019EP,01_008_006,MSZP-PARBESZED,30
Listas,2019EP,01_008_007,MSZP-PARBESZED,36
Listas,2019EP,01_008_008,MSZP-PARBESZED,136
Listas,2019EP,01_008_009,MSZP-PARBESZED,46
Listas,2019EP,01_008_010,MSZP-PARBESZED,29
Listas,2019EP,01_008_011,MSZP-PARBESZED,45
Listas,2019EP,01_008_012,MSZP-PARBESZED,18
Listas,2019EP,01_008_013,MSZP-PARBESZED,32
Listas,2019EP,01_008_014,MSZP-PARBESZED,40
Listas,2019EP,01_008_015,MSZP-PARBESZED,17
Listas,2019EP,01_008_016,MSZP-PARBESZED,43
Listas,2019EP,01_008_017,MSZP-PARBESZED,43
Listas,2019EP,01_008_018,MSZP-PARBESZED,31
Listas,2019EP,01_008_019,MSZP-PARBESZED,21
Listas,2019EP,01_008_020,MSZP-PARBESZED,29
Listas,2019EP,01_008_021,MSZP-PARBESZED,29
Listas,2019EP,01_008_022,MSZP-PARBESZED,16
Listas,2019EP,01_008_023,MSZP-PARBESZED,26
Listas,2019EP,01_008_024,MSZP-PARBESZED,32
Listas,2019EP,01_008_025,MSZP-PARBESZED,19
Listas,2019EP,01_008_026,MSZP-PARBESZED,21
Listas,2019EP,01_008_027,MSZP-PARBESZED,21
Listas,2019EP,01_008_028,MSZP-PARBESZED,19
Listas,2019EP,01_008_029,MSZP-PARBESZED,20
Listas,2019EP,01_008_030,MSZP-PARBESZED,22
Listas,2019EP,01_008_031,MSZP-PARBESZED,13
Listas,2019EP,01_008_032,MSZP-PARBESZED,23
Listas,2019EP,01_008_033,MSZP-PARBESZED,11
Listas,2019EP,01_008_034,MSZP-PARBESZED,20
Listas,2019EP,01_008_035,MSZP-PARBESZED,24
Listas,2019EP,01_008_036,MSZP-PARBESZED,38
Listas,2019EP,01_008_037,MSZP-PARBESZED,6
Listas,2019EP,01_008_038,MSZP-PARBESZED,23
Listas,2019EP,01_008_039,MSZP-PARBESZED,28
Listas,2019EP,01_008_040,MSZP-PARBESZED,40
Listas,2019EP,01_008_041,MSZP-PARBESZED,28
Listas,2019EP,01_008_042,MSZP-PARBESZED,16
Listas,2019EP,01_008_043,MSZP-PARBESZED,27
Listas,2019EP,01_008_044,MSZP-PARBESZED,13
Listas,2019EP,01_008_045,MSZP-PARBESZED,19
Listas,2019EP,01_008_046,MSZP-PARBESZED,30
Listas,2019EP,01_008_047,MSZP-PARBESZED,16
Listas,2019EP,01_008_048,MSZP-PARBESZED,31
Listas,2019EP,01_008_049,MSZP-PARBESZED,35
Listas,2019EP,01_008_050,MSZP-PARBESZED,24
Listas,2019EP,01_008_051,MSZP-PARBESZED,19
Listas,2019EP,01_008_052,MSZP-PARBESZED,34
Listas,2019EP,01_008_053,MSZP-PARBESZED,29
Listas,2019EP,01_008_054,MSZP-PARBESZED,30
Listas,2019EP,01_008_055,MSZP-PARBESZED,15
Listas,2019EP,01_008_056,MSZP-PARBESZED,37
Listas,2019EP,01_008_057,MSZP-PARBESZED,23
Listas,2019EP,01_008_058,MSZP-PARBESZED,32
Listas,2019EP,01_008_059,MSZP-PARBESZED,23
Listas,2019EP,01_008_060,MSZP-PARBESZED,21
Listas,2019EP,01_009_001,MSZP-PARBESZED,26
Listas,2019EP,01_009_002,MSZP-PARBESZED,27
Listas,2019EP,01_009_003,MSZP-PARBESZED,20
Listas,2019EP,01_009_004,MSZP-PARBESZED,17
Listas,2019EP,01_009_005,MSZP-PARBESZED,26
Listas,2019EP,01_009_006,MSZP-PARBESZED,31
Listas,2019EP,01_009_007,MSZP-PARBESZED,22
Listas,2019EP,01_009_008,MSZP-PARBESZED,25
Listas,2019EP,01_009_009,MSZP-PARBESZED,136
Listas,2019EP,01_009_010,MSZP-PARBESZED,23
Listas,2019EP,01_009_011,MSZP-PARBESZED,23
Listas,2019EP,01_009_012,MSZP-PARBESZED,26
Listas,2019EP,01_009_013,MSZP-PARBESZED,27
Listas,2019EP,01_009_014,MSZP-PARBESZED,22
Listas,2019EP,01_009_015,MSZP-PARBESZED,25
Listas,2019EP,01_009_016,MSZP-PARBESZED,20
Listas,2019EP,01_009_017,MSZP-PARBESZED,32
Listas,2019EP,01_009_018,MSZP-PARBESZED,20
Listas,2019EP,01_009_019,MSZP-PARBESZED,14
Listas,2019EP,01_009_020,MSZP-PARBESZED,22
Listas,2019EP,01_009_021,MSZP-PARBESZED,26
Listas,2019EP,01_009_022,MSZP-PARBESZED,26
Listas,2019EP,01_009_023,MSZP-PARBESZED,19
Listas,2019EP,01_009_024,MSZP-PARBESZED,17
Listas,2019EP,01_009_025,MSZP-PARBESZED,40
Listas,2019EP,01_009_026,MSZP-PARBESZED,39
Listas,2019EP,01_009_027,MSZP-PARBESZED,43
Listas,2019EP,01_009_028,MSZP-PARBESZED,28
Listas,2019EP,01_009_029,MSZP-PARBESZED,33
Listas,2019EP,01_009_030,MSZP-PARBESZED,38
Listas,2019EP,01_009_031,MSZP-PARBESZED,30
Listas,2019EP,01_009_032,MSZP-PARBESZED,19
Listas,2019EP,01_009_033,MSZP-PARBESZED,27
Listas,2019EP,01_009_034,MSZP-PARBESZED,24
Listas,2019EP,01_009_035,MSZP-PARBESZED,43
Listas,2019EP,01_009_036,MSZP-PARBESZED,34
Listas,2019EP,01_009_037,MSZP-PARBESZED,22
Listas,2019EP,01_009_038,MSZP-PARBESZED,18
Listas,2019EP,01_009_039,MSZP-PARBESZED,16
Listas,2019EP,01_009_040,MSZP-PARBESZED,11
Listas,2019EP,01_009_041,MSZP-PARBESZED,50
Listas,2019EP,01_009_042,MSZP-PARBESZED,36
Listas,2019EP,01_009_043,MSZP-PARBESZED,42
Listas,2019EP,01_009_044,MSZP-PARBESZED,44
Listas,2019EP,01_009_045,MSZP-PARBESZED,28
Listas,2019EP,01_009_046,MSZP-PARBESZED,23
Listas,2019EP,01_009_047,MSZP-PARBESZED,37
Listas,2019EP,01_009_048,MSZP-PARBESZED,31
Listas,2019EP,01_009_049,MSZP-PARBESZED,47
Listas,2019EP,01_009_050,MSZP-PARBESZED,46
Listas,2019EP,01_009_051,MSZP-PARBESZED,37
Listas,2019EP,01_009_052,MSZP-PARBESZED,44
Listas,2019EP,01_009_053,MSZP-PARBESZED,42
Listas,2019EP,01_010_001,MSZP-PARBESZED,46
Listas,2019EP,01_010_002,MSZP-PARBESZED,47
