TIPUS,VALASZTAS,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2019EP,01_001_001,MSZP-PARBESZED,48
Listas,2019EP,01_001_002,MSZP-PARBESZED,42
Listas,2019EP,01_001_003,MSZP-PARBESZED,66
Listas,2019EP,01_001_004,MSZP-PARBESZED,32
Listas,2019EP,01_001_005,MSZP-PARBESZED,40
Listas,2019EP,01_001_006,MSZP-PARBESZED,68
Listas,2019EP,01_001_007,MSZP-PARBESZED,49
Listas,2019EP,01_001_008,MSZP-PARBESZED,42
Listas,2019EP,01_001_009,MSZP-PARBESZED,37
Listas,2019EP,01_001_010,MSZP-PARBESZED,64
Listas,2019EP,01_001_011,MSZP-PARBESZED,47
Listas,2019EP,01_001_012,MSZP-PARBESZED,61
Listas,2019EP,01_001_013,MSZP-PARBESZED,48
Listas,2019EP,01_001_014,MSZP-PARBESZED,52
Listas,2019EP,01_001_015,MSZP-PARBESZED,50
Listas,2019EP,01_001_016,MSZP-PARBESZED,53
Listas,2019EP,01_001_017,MSZP-PARBESZED,58
Listas,2019EP,01_001_018,MSZP-PARBESZED,67
Listas,2019EP,01_001_019,MSZP-PARBESZED,53
Listas,2019EP,01_001_020,MSZP-PARBESZED,58
Listas,2019EP,01_002_001,MSZP-PARBESZED,46
Listas,2019EP,01_002_002,MSZP-PARBESZED,59
Listas,2019EP,01_002_003,MSZP-PARBESZED,24
Listas,2019EP,01_002_004,MSZP-PARBESZED,64
Listas,2019EP,01_002_005,MSZP-PARBESZED,53
Listas,2019EP,01_002_006,MSZP-PARBESZED,53
Listas,2019EP,01_002_007,MSZP-PARBESZED,48
Listas,2019EP,01_002_008,MSZP-PARBESZED,50
Listas,2019EP,01_002_009,MSZP-PARBESZED,45
Listas,2019EP,01_002_010,MSZP-PARBESZED,51
Listas,2019EP,01_002_011,MSZP-PARBESZED,118
Listas,2019EP,01_002_012,MSZP-PARBESZED,43
Listas,2019EP,01_002_013,MSZP-PARBESZED,41
Listas,2019EP,01_002_014,MSZP-PARBESZED,53
Listas,2019EP,01_002_015,MSZP-PARBESZED,40
Listas,2019EP,01_002_016,MSZP-PARBESZED,44
Listas,2019EP,01_002_017,MSZP-PARBESZED,55
Listas,2019EP,01_002_018,MSZP-PARBESZED,53
Listas,2019EP,01_002_019,MSZP-PARBESZED,58
Listas,2019EP,01_002_020,MSZP-PARBESZED,52
Listas,2019EP,01_002_021,MSZP-PARBESZED,45
Listas,2019EP,01_002_022,MSZP-PARBESZED,59
Listas,2019EP,01_002_023,MSZP-PARBESZED,50
Listas,2019EP,01_002_024,MSZP-PARBESZED,67
Listas,2019EP,01_002_025,MSZP-PARBESZED,34
Listas,2019EP,01_002_026,MSZP-PARBESZED,53
Listas,2019EP,01_002_027,MSZP-PARBESZED,31
Listas,2019EP,01_002_028,MSZP-PARBESZED,42
Listas,2019EP,01_002_029,MSZP-PARBESZED,27
Listas,2019EP,01_002_030,MSZP-PARBESZED,44
Listas,2019EP,01_002_031,MSZP-PARBESZED,61
Listas,2019EP,01_002_032,MSZP-PARBESZED,63
Listas,2019EP,01_002_033,MSZP-PARBESZED,53
Listas,2019EP,01_002_034,MSZP-PARBESZED,44
Listas,2019EP,01_002_035,MSZP-PARBESZED,42
Listas,2019EP,01_002_036,MSZP-PARBESZED,53
Listas,2019EP,01_002_037,MSZP-PARBESZED,39
Listas,2019EP,01_002_038,MSZP-PARBESZED,54
Listas,2019EP,01_002_039,MSZP-PARBESZED,45
Listas,2019EP,01_002_040,MSZP-PARBESZED,32
