SZAVAZOKOR,MEGYEKOD,MEGYE,OEVK,TELEPULES_SORSZAM,TELEPULES,SZAVKORCIM,AKADALYMENTES,ATJELENTKEZOK,OEVK26_options,OEVK26_isect,METSZET,MI,OEVK26_largest,OEVK26,URL
02_217_086,02,BARANYA,02,217,Pécs,VERESS E. U. 2. (RENDELÕINTÉZET),Igen,Nem,02_02|02_01,02_02,88939,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=086
02_217_087,02,BARANYA,02,217,Pécs,ESZTERGÁR L. U. 6. (KÖZÉPISKOLA),Nem,Nem,02_02|02_01,02_02,91767,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=087
02_217_088,02,BARANYA,02,217,Pécs,BÁNKI D. ÚT 2. (ISKOLA),Igen,Nem,02_02|02_01,02_02,73695,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=088
02_217_089,02,BARANYA,02,217,Pécs,BÁNKI D. ÚT 2. (ISKOLA),Igen,Nem,02_02|02_01,02_02,194461,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=089
02_217_090,02,BARANYA,02,217,Pécs,BÁNKI D. ÚT 2. (ISKOLA),Igen,Nem,02_02|02_01,02_02,197979,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=090
02_217_091,02,BARANYA,02,217,Pécs,HAJNÓCZY ÚT 41. (SZÍNHÁZ),Nem,Nem,02_02|02_01,02_02,612279,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=091
02_217_092,02,BARANYA,02,217,Pécs,HAJNÓCZY ÚT 41. (SZÍNHÁZ),Nem,Nem,02_02|02_01,02_01|02_02,2085|381131,0|1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=092
02_217_093,02,BARANYA,02,217,Pécs,PÁZMÁNY P. U. 27. (ISKOLA),Igen,Nem,02_02|02_01,02_02,506527,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=093
02_217_094,02,BARANYA,02,217,Pécs,KODÓ D. 1. (NÖVÉNY ÉS TALAJV.O.),Nem,Nem,02_02|02_01,02_01|02_02,97196|6044209,0|1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=094
02_217_095,02,BARANYA,02,217,Pécs,RÁCVÁROSI ÚT 56. (ÓVODA),Nem,Nem,02_02|02_01,02_02,1943707,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=095
02_217_096,02,BARANYA,02,217,Pécs,PÁZMÁNY P. U. 27. (ISKOLA),Nem,Nem,02_02|02_01,02_02,1090425,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=096
02_217_097,02,BARANYA,02,217,Pécs,PÁZMÁNY P. U. 27. (ISKOLA),Nem,Nem,02_02|02_01,02_02,3049374,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=097
02_217_098,02,BARANYA,02,217,Pécs,SZIGETI ÚT 97. (ISKOLA),Igen,Nem,02_02|02_01,02_02,1296941,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=098
02_217_099,02,BARANYA,02,217,Pécs,NAGYDEINDOLI ÚT 2/2. (ÓVODA),Nem,Nem,02_02|02_01,02_02,946328,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=099
02_217_100,02,BARANYA,02,217,Pécs,FÁBIÁN B. U. 9. (KULTÚRHÁZ),Nem,Nem,02_02|02_01,02_02,2030514,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=100
02_217_101,02,BARANYA,02,217,Pécs,FÁBIÁN B. U. 9. (KULTÚRHÁZ),Nem,Nem,02_02|02_01,02_02,6333997,1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=101
02_217_102,02,BARANYA,02,217,Pécs,NAGYDEINDOLI ÚT 2/2. (ÓVODA),Nem,Nem,02_02|02_01,02_01|02_02,787327|2387302,0|1,02_02,02_02,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=102
02_217_103,02,BARANYA,01,217,Pécs,MEGYERI ÚT (VÁSÁRTÉR VOLT MÁZSAHÁZ),Nem,Nem,02_02|02_01,02_01|02_02,6900424|3023087,1|0,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=103
02_217_104,02,BARANYA,01,217,Pécs,TOLSZTOJ U. 10. (KÖZÖSSÉGI HÁZ),Nem,Nem,02_02|02_01,02_01,534878,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=104
02_217_105,02,BARANYA,01,217,Pécs,BIMBÓ U. 1. (ÓVODA),Nem,Nem,02_02|02_01,02_01|02_02,1048028|12365,1|0,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=105
02_217_106,02,BARANYA,01,217,Pécs,BIMBÓ U. 1. (ÓVODA),Nem,Nem,02_02|02_01,02_01,778838,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=106
02_217_107,02,BARANYA,01,217,Pécs,ENYEZD ÚT 1. (ÓVODA),Nem,Nem,02_02|02_01,02_01,55850,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=107
02_217_108,02,BARANYA,01,217,Pécs,ENYEZD ÚT 1. (ÓVODA),Nem,Nem,02_02|02_01,02_01,203948,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=108
02_217_109,02,BARANYA,01,217,Pécs,ANIKÓ U. 1. (VOLT ISKOLA),Igen,Nem,02_02|02_01,02_01,34388,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=109
02_217_110,02,BARANYA,01,217,Pécs,ENYEZD ÚT 1. (ÓVODA),Nem,Nem,02_02|02_01,02_01,53436,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=110
02_217_111,02,BARANYA,01,217,Pécs,ANIKÓ U. 1. (VOLT ISKOLA),Igen,Nem,02_02|02_01,02_01,25460,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=111
02_217_112,02,BARANYA,01,217,Pécs,ANIKÓ U. 1. (VOLT ISKOLA),Igen,Nem,02_02|02_01,02_01,46090,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=112
02_217_113,02,BARANYA,01,217,Pécs,MELINDA U. 23/1. (ÓVODA),Nem,Nem,02_02|02_01,02_01,104351,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=113
02_217_114,02,BARANYA,01,217,Pécs,SAROLTA U. 2. (TERÜLETI SZOCIÁLIS KÖZPONT),Igen,Nem,02_02|02_01,02_01,117269,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=114
02_217_115,02,BARANYA,01,217,Pécs,ANIKÓ U. 1. (VOLT ISKOLA),Igen,Nem,02_02|02_01,02_01,111239,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=115
02_217_116,02,BARANYA,01,217,Pécs,ANIKÓ U. 1. (VOLT ISKOLA),Igen,Nem,02_02|02_01,02_01,51427,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=116
02_217_117,02,BARANYA,01,217,Pécs,ANIKÓ U. 1. (VOLT ISKOLA),Igen,Nem,02_02|02_01,02_01,32891,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=117
02_217_118,02,BARANYA,01,217,Pécs,TESTVÉRVÁROSOK TERE 1. (ISKOLA),Igen,Nem,02_02|02_01,02_01,128491,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=118
02_217_119,02,BARANYA,01,217,Pécs,TESTVÉRVÁROSOK TERE 1. (ISKOLA),Igen,Nem,02_02|02_01,02_01,171098,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=119
02_217_120,02,BARANYA,01,217,Pécs,APÁCZAI CS.J.KRT.1.D.ÉP. (APÁCZAI MðV.HÁZ 4.SZ.H.),Nem,Nem,02_02|02_01,02_01,47203,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=120
02_217_121,02,BARANYA,01,217,Pécs,APÁCZAI CS.J.KRT.1.D.ÉP. (APÁCZAI MðV.HÁZ 5.SZ.H.),Nem,Nem,02_02|02_01,02_01,42592,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=121
02_217_122,02,BARANYA,01,217,Pécs,APÁCZAI CS.J.KRT.1.D.ÉP. (APÁCZAI MðV.HÁZ 6.SZ.H.),Nem,Nem,02_02|02_01,02_01,43651,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=122
02_217_123,02,BARANYA,01,217,Pécs,APÁCZAI CS.J.KRT.1.D.ÉP. (APÁCZAI MðV.HÁZ 7.SZ.H.),Nem,Nem,02_02|02_01,02_01,238548,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=123
02_217_124,02,BARANYA,01,217,Pécs,AIDINGER J. ÚT 41. (ISKOLA),Nem,Nem,02_02|02_01,02_01,144901,1,02_01,02_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=217&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=02&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=124
